"","Head","","Recurrent
Capital"
"","No.","","Expenditure
Expenditure"
"","","","Rs.
Rs."
"","Head
202","Department  of  Muslim  Religious  and  Cultural  Affairs",""
"","","Programme  02
Development  Activities","155,000,000
          25,000,000"
"","Head
203","Department  of  Christian  Religious    Affairs",""
"","","Programme  02
Development  Activities","186,000,000
           24,000,000"
"5","Head
204","Department  of  Hindu  Religious  and  Cultural  Affairs",""
"","","Programme  02
Development  Activities","240,000,000
          43,000,000"
"","Head   205","Department  of  Public  Trustee",""
"","","Programme  01
Operational  Activities","83,000,000
          6,000,000"
"","Head   206","Department  of  Cultural  Affairs",""
"","","Programme  01
Operational  Activities","142,000,000
          6,000,000"
"10","","",""
"","","Programme  02
Development  Activities","649,000,000
                231,000,000"
"","Head
207","Department  of  Archaeology",""
"","","Programme  01
Operational  Activities","296,000,000             22,000,000"
"","","Programme  02
Development  Activities","1,404,000,000                     254,000,000"
"","Head
208","Department  of  National  Museums",""
"15","","",""
"","","Programme  01
Operational  Activities","78,000,000             29,000,000"
"","","Programme  02
Development  Activities","256,000,000                     342,000,000"
