"","","Rs.","Rs."
"Made  up  as  follows  :-","","",""
"Head 403","State  Minister  of  Women  and  Child  Development,","",""
"","Pre-Schools  and  Primary  Education,","",""
"","School  Infrastructure  and  Education    Services","",""
"","Programme  01
Operational  Activities","15,146,820,000","40,420,000"
"","Programme  02
Development  Activities","5,610,710,000","15,193,100,000"
"Head 217","Department  of  Probation  and  Childcare  Services","",""
"","Programme  01
Operational  Activities","36,210,000","550,000"
"","Programme  02
Development  Activities","288,660,000","35,360,000"
"","State  Ministry  of  Education  Reforms,  Open  Universities  and","",""
"","Distance  Learning  Promotion","",""
"","Recurrent
      557,894,000","",""
"","Capital
1,727,775,000","",""
"Made  up  as  follows  :-","","",""
"Head 404","State  Minister  of  Education  Reforms,  Open  Universities  and","",""
"","Distance  Learning  Promotion","",""
"","Programme  01
Operational  Activities","517,554,000","1,725,630,000"
"Head 335","National  Education  Commission","",""
"","Programme  01
Operational  Activities","40,340,000","2,145,000"
