"","","of the
Accounts  of
of  the","of the"
"","","Government
Activities  of the
Government","Government"
"","","Government",""
"","","Rs.
Rs.
Rs.","Rs."
"137","Si  Lanka  Customs","24701 Advances  to  Public  Officers     50,000,000     39,600,000    330,000,000","—"
"138","Si  Lanka  Customs","24702 Seized  and  Forfeited  Goods",""
"","","Advance  Account
                18,000,000
      6,000,000     85,000,000","—"
"139","Department  of  Excise","24801 Advances  to  Public  Officers
  47,000,000     26,100,000   220,000,000","—"
"140","Department  of  Treasury","",""
"","Operations","24901 Advances  to  Public  Officers
    6,000,000
      3,000,000       28,000,000","—"
"141","Department  of  State  Accounts","25001 Advances  to  Public  Officers         4,500,000
      1,600,000     16,000,000","—"
"142","Department  of  State  Accounts","25002 Advances  for  Payments  on",""
"","","behalf  of  other  Governments     4,000,000
  2,000,000
    2,800,000","—"
"143","Department  of  State  Accounts","25003 Miscellaneous  Advances
          10,000,000
    2,000,000   200,000,000","—"
"144","Department  of  Valuation","25101 Advances  to  Public  Officers
  25,000,000     14,100,000   100,000,000","—"
"145","Department  of  Census  and","",""
"","Statistics","25201 Advances  to  Public  Officers
  37,000,000       27,600,000   210,000,000","—"
"146","Department  of  Pensions","25301 Advances  to  Public  Officers      41,000,000        24,600,000  225,000,000","—"
"147","Department  of  Registrar  General","25401 Advances  to  Public  Officers     61,000,000     48,500,000    290,000,000","—"
"148","District  Secretariat,  Colombo","25501 Advances  to  Public  Officers
  60,000,000     35,500,000    234,000,000","—"
"149","District  Secretariat,  Gampaha","25601 Advances  to  Public  Officers     87,000,000       60,000,000    350,000,000","—"
"150","District  Secretariat,  Kalutara","25701 Advances  to  Public  Officers      80,000,000     60,000,000 350,000,000","—"
"151","District  Secretariat,  Kandy","25801 Advances  to  Public  Officers        56,000,000      50,300,000  255,000,000","—"
