"No.","","Expenditure
Expenditure"
"","","Rs.
Rs."
"Made  up  as  follows  :-","",""
"Head 415","State  Minister  of  Rural  Housing,  Construction  and",""
"","Building  Material  Industries",""
"","Programme  01
Operational  Activities","1,232,091,000                 366,150,000"
"","Programme  02
Development  Activities","201,569,000           3,921,452,000"
"Head 309","Department  of  Buildings",""
"","Programme  01
Operational  Activities","114,664,000             2,928,000"
"","Programme  02
Development  Activities","321,260,000             8,073,000"
"Head 310","Department  of  Government  Factories",""
"","Programme  02
Development  Activities","244,206,000           27,634,000"
"","State  Ministry  of  Estate  Housing  and  Community  Infrastructure",""
"","Recurrent
      398,078,000",""
"","Capital
1,394,081,000",""
"Made  up  as  follows  :-","",""
"Head 417","State  Minister  of  Estate  Housing  and  Community  Infrastructure",""
"","Programme  01  Operational  Activities","398,078,000           19,004,000"
"","Programme  02  Development  Activities","-
          1,375,077,000"
"","Ministry  of  Education",""
"","Recurrent
97,623,960,000",""
"","Capital
25,753,145,000",""
