"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of the","Government","Government"
"","","","Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"143 Department  of Survey","28801 Advances  to  Public  Officers","130,000,000","80,000,000","380,000,000","—"
"144 Department  of  Export","28901 Advances  to  Public  Officers","25,000,000","19,000,000","110,000,000","—"
"Agriculture","","","","",""
"145 Department  of  Fisheries  and","29001 Advances  to  Public  Officers","22,000,000","13,500,000","105,000,000","—"
"Aquatic  Resources","","","","",""
"146 Department  of  Coast","29101 Advances  to  Public  Officers","9,000,000","6,500,000","50,000,000","—"
"Conservation","","","","",""
"147 Department  of  Animal","29201 Advances  to  Public  Officers","26,000,000","15,000,000","110,000,000","—"
"Production  and  Health","","","","",""
"148 Department  of  Rubber","29301 Advances  to  Public  Officers","15,000,000","8,000,000","50,000,000","—"
"Development","","","","",""
"149 Department  of  National","29401 Advances  to  Public  Officers","14,000,000","8,000,000","65,000,000","—"
"Zoological  Gardens","","","","",""
"150 Department  of  Commerce","29501 Advances  to  Public  Officers","5,500,000","2,000,000","20,000,000","—"
"151 Department  of    Import  and","29601 Advances  to  Public  Officers","4,000,000","2,000,000","18,000,000","—"
"Export  Control","","","","",""
"152 Department  of  the  Registrar","29701 Advances  to  Public  Officers","4,500,000","2,300,000","20,000,000","—"
"of  Companies","","","","",""
