"","","","of the","Accounts  of","of  the","of the"
"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"8 7","Department  of  Official","23601 Advances  to  Public  Officers","7,000,000","3,000,000","25,000,000","—"
"","Languages","","","","",""
"8 8","Department  of  National","23701 Advances  to  Public  Officers","4,500,000","2,500,000","30,000,000","—"
"","Planning","","","","",""
"8 9","Department  of  Fiscal  Policy","23801 Advances  to  Public  Officers","2,500,000","1,000,000","10,000,000","—"
"9 0","Department  of  External","23901 Advances  to  Public  Officers","4,500,000","2,500,000","27,000,000","—"
"","Resources","","","","",""
"9 1","Department  of  National","24001 Advances  to  Public  Officers","5,500,000","3,800,000","27,000,000","—"
"","Budget","","","","",""
"9 2","Department  of  Public","24101 Advances  to  Public  Officers","4,000,000","1,800,000","19,000,000","—"
"","Enterprises","","","","",""
"9 3","Department  of  Management","24201 Advances  to  Public  Officers","4,000,000","2,000,000","18,000,000","—"
"","Services","","","","",""
"9 4","Department  of  Development","24301 Advances  to  Public  Officers","2,500,000","500,000","9,000,000","—"
"","Finance","","","","",""
"9 5","Department  of  Trade  and","24401 Advances  to  Public  Officers","2,500,000","1,200,000","12,000,000","—"
"","Investment  Policy","","","","",""
"9 6","Department  of  Public","24501 Advances  to  Public  Officers","2,500,000","1,250,000","13,000,000","—"
"","Finance","","","","",""
