"","","","I","II","III","IV","V"
"SRL","Ministries / Departments","Item","Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts  to  be","Debit Balance","Liabilities"
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"4 1","Minister  of  Education","","12601 Advances  to  Public  Officers","794,000,000","635,500,000","2,310,000,000","—"
"4 2","Minister  of  Public","","13001 Advances  to  Public  Officers","60,000,000","27,100,000","230,500,000","—"
