"","","","I","II","III","IV","V"
"SRL","Ministries / Departments","Item","Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts  to  be","Debit Balance","Liabilities"
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"2 2","Minister  of  Buddha  Sasana","","10101 Advances  to  Public  Officers","6,000,000","2,400,000","23,000,000","—"
"2 3","Minister  of  Finance","","10201 Advances  to  Public  Officers","13,750,000","8,000,000","70,000,000","—"
