"Serial","Country","Country","Currency","Currency","Rate of Exchang"
"No.","","Code","","Code","(Rs.)"
"1","Australia","AU","Australian Dollar","AUD","202.0786"
"2","Bahrain","BH","Baharain Dinar","BHD","811.0031"
"3","Bangladesh","BD","Bangladesh Taka","BDT","2.5128"
"4","Brazil","BR","Brazil Real","BRL","57.6400"
"5","Brunei","BN","Brunei Dollar","BND","238.4476"
"6","Canada","CA","Canadian Dollar","CAD","221.6088"
"7","China","CN","Chinese Yuan (Offshore)","CNH .","42.9893"
"8","China","CN","Chinese Yuan (Renminbi)","CNY","42.9806"
"9","Czechoslovakia","CZ","Czechoslovakia Koruna","CZK","14.8242"
"10","Denmark","DK","Danish Kroner","DKK","48.2623"
"11","Egypt","EG","Egypt Pound","EGP","6.3459"
"12","Euro Zone","","Euro","EUR","360.2124"
"13","Ghana","GH","Ghana Cedi","GHS","24.9233"
"14","Hongkong","HK","Hong Kong Dollar","HKD","39.3205"
"15","Hungary","HU","Hungary Forint","HUF","0.9246"
"16","India","IN","Indian Rupee","INR","3.4679"
"17","Indonesia","ID","Indonesian Rupiah","IDR","0.0185"
"18","Iran","IR","Iran Rial","IRR","0.0073"
"19","Japan","JP","Japanese Yen","JPY","2.0665"
"20","Jordan","JO","Jordan Dinar","JOD","431.3244"
"21","Korea","KR","Korean Won","KRW","0.2194"
"22","Kuwait","KW","Kuwait Dinar","KWD","1,001.7000"
"23","Macau","MO","Macau Pataca","MOP","38.1546"
"24","Malaysia","MY","Malaysia Ringgit","MYR","72.6819"
"25","Maldives","MV","Maldivian Rufiya","MVR","19.7807"
"26","Mauritius","MU","Mauritius Rupee","MUR","6.7567"
"27","Myanmar","MM","Myanmar Kyat","MMK","0.1456"
"28","Nepal","NP","Nepal Rupee","NPR","2.1687"
"29","New Zealand","NZ","New Zealand Dollar","NZD","179.9074"
"30","Nigeria","NG","Nigeria Naira","NGN","0.2047"
"31","Norway","NO","Norwegian Kroner","NOK","30.9040"
"32","Oman","OM","Oman Riyal","OMR","794.2472"
