"","","I fldgi ( ^I& fPoh - YS% ,xld m%cd;dka;s%l iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h - 2025'09'22","","","3A"
"","Part I : Sec. (I) - GAZETTE  EXTRAORDINARY  OF THE  DEMOCRATIC  SOCIALIST  REPUBLIC  OF  SRI   LANKA - 22.09.2025","","","",""
"","","","Schedule (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchang"
"No.","","Code","","Code","(Rs.)"
"33","Pakistan","PK","Pakistan Rupee","PKR","1.0776"
"34","Papua New Guinea","PG","Papua New Guinea Kina","PGK","73.2413"
"35","Philippines","PH","Philippines Peso","PHP","5.3484"
"36","Poland","PL","Poland Zloty","PLN","84.5325"
"37","Qatar","QA","Qatar Riyal","QAR","83.8936"
"38","Russia","RU","Russia Rouble","RUB","3.6734"
"39","Saudi Arabia","SA","Saudi Arabian Riyal","SAR","81.5404"
"40","Seychelles","SC","Seychelles Rupee","SCR","20.0907"
"41","Singapore","SG","Singapore Dollar","SGD","238.4476"
"42","South Africa","ZA","South African Rand","ZAR","17.6147"
"43","Sweden","SE","Swedish Kroner","SEK","32.6658"
"44","Switzerland","CH","Swiss Franc","CHF","385.5869"
"45","Taiwan","TW","Taiwan Dollar","TWD","10.1527"
"46","Thailand","TH","Thailand Baht","THB","9.5865"
"47","U.A.E.","AE","UAE Dirham","AED","83.2575"
"48","United Kingdom","GB","Sterling Pound","GBP","414.0195"
"49","USA","US","US Dollar","USD","305.8090"
"50","Zambia","ZM","Zambia Kwacha (Old)","ZMK","0.0589"
"51","Zambia","ZM","Zambia Kwacha (New)","ZMW","12.9717"
"52","Zimbabwe","ZW","Zimbabwe Dollar","ZWD","0.8058"
