"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","185.6447"
"45.","Taiwan","TW","Dollar","TWD","6.0091"
"46.","Thailand","TH","Baht","THB","6.0341"
"47.","U.A.E.","AE","Dirham","AED","49.8739"
"48.","United Kingdom","GB","Sterling-Pound","GBP","241.0744"
"49.","United States of America","US","Dollar","USD","183.1942"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0353"
"51.","Zambia (New)","ZM","Kwacha","ZMW","12.1120"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4827"
