"I.","II.","III.","","","IV."
"H. S.","H. S. Code","Description","","","Exempt"
"Headings","","","","",""
"44.01","","","Fuel  wood,  in  logs,  in  billets,  in  twigs,  in  faggots  or  in  similar","",""
"","","","forms; wood in chips or particles; sawdust and wood waste and","",""
"","","","scrap, whether or not agglomerated in logs, briquettes, pellets","",""
"","","or similar forms.","","",""
"","","","Fuel  wood,  in  logs,  in  billets,  in  twigs,  in  faggots  or  in  similar","",""
"","","forms :","","",""
"","4401.11","Coniferous","","","Exempt"
"","4401.12","Non-coniferous","","","Exempt"
"","","Wood in chips or particles :","","",""
"","4401.21","Coniferous","","","Exempt"
"","4401.22","Non-coniferous","","","Exempt"
"","","Sawdust  and  wood  waste  and  scrap,  agglomerated,","in","logs,",""
"","","briquettes, pellets or similar forms :","","",""
"","4401.31","","","","Exempt"
"","","Wood pellets","","",""
"","4401.39","Other","","","Exempt"
"44.02","","","Wood charcoal (including shell or nut charcoal), whether or not","",""
"","","agglomerated.","","",""
"","4402.10","Of bamboo","","","Exempt"
"","4402.90","Other :","","",""
"","4402.90.10","Coconut shell charcoal","","","Exempt"
"","4402.90.90","Other","","","Exempt"
"44.04","","","Hoopwood; split poles; piles, pickets and stakes of wood, pointed","",""
"","","","but not sawn lengthwise; wooden sticks, roughly trimmed but not","",""
"","","","turned, bent or otherwise worked, suitable for the manufacture","",""
"","","","of walking-sticks, umbrellas, tool handles or the like; chipwood","",""
"","","and the like.","","",""
"","4404.10","Coniferous","","","Exempt"
"","4404.20","Non-coniferous","","","Exempt"
"44.06","","Railway or tramway sleepers (cross-ties) of wood.","","",""
"","","Not impregnated :","","",""
"","4406.11","Coniferous","","","Exempt"
"","4406.12","Non-coniferous","","","Exempt"
