"I.","II.","III.","","","IV."
"H. S.","H. S. Code","Description","","","Exempt"
"Headings","","","","",""
"84.28","","","Other  lifting,  handling,  loading  or  unloading  machinery  (for","",""
"","","example, lifts, escalators, conveyors, teleferics).","","",""
"","8428.10","Lifts and skip hoists","","","Exempt"
"","","","Other  continuous-action  elevators  and  conveyors,  for  goods  or","",""
"","","materials :","","",""
"","8428.31","Specially designed for underground use","","","Exempt"
"84.29","","Self-propelled 
bulldozers, 
angledozers,","graders,","levellers,",""
"","","scrapers,  mechanical 
shovels, 
excavators,","shovel","loaders,",""
"","","tamping machines and road rollers.","","",""
"","8429.30","Scrapers","","","Exempt"
"84.30","","","Other moving, grading, levelling, scraping, excavating, tamping,","",""
"","","","compacting, extracting or boring machinery, for earth, minerals","",""
"","","","or  ores;  pile-drivers  and  pile-extractors;  snow-ploughs  and","",""
"","","snow-blowers.","","",""
"","8430.20","Snow-ploughs and snow-blowers","","","Exempt"
"","","Coal or rock cutters and tunnelling machinery :","","",""
"","8430.31","Self-propelled","","","Exempt"
"","8430.50","Other machinery, self-propelled","","","Exempt"
"84.32","","Agricultural,  horticultural  or","forestry  machinery 
for","soil",""
"","","preparation or cultivation; lawn or sports-ground rollers.","","",""
"","8432.10","Ploughs","","","Exempt"
"","","Harrows, scariﬁers, cultivators, weeders and hoes :","","",""
"","8432.21","Disc harrows","","","Exempt"
"","8432.29","Other","","","Exempt"
"","","Seeders, planters and transplanters :","","",""
"","8432.31","No-till direct seeders, planters and tarnsplanters","","","Exempt"
"","8432.39","Other","","","Exempt"
"","","Manure spreaders and fertiliser distributors :","","",""
"","8432.41","Manure spreaders","","","Exempt"
"","8432.42","Fertiliser distributors","","","Exempt"
"","8432.80","Other machinery :","","",""
"","8432.80.10","Lawn or sports ground rollers","","","Exempt"
