"I.","II.","III.","","","IV."
"H. S.","H. S. Code","Description","","","Exempt"
"Headings","","","","",""
"28.26","","Fluorides; 
ﬂuorosilicates, 
ﬂuoroaluminates","and","other",""
"","","complexﬂuorine salts.","","",""
"","2826.30","Sodium hexafluoroaluminate (synthetic cryolite)","","","Exempt"
"28.27","","","Chlorides,  chloride  oxides  and  chloride  hydroxides;  bromides","",""
"","","and bromide oxides; iodides and iodide oxides.","","",""
"","","Other chlorides :","","",""
"","2827.31","Of magnesium","","","Exempt"
"","2827.35","Of nickel","","","Exempt"
"","","Chloride oxides and chloride hydroxides :","","",""
"","2827.41","Of copper","","","Exempt"
"28.29","","","Chlorates and perchlorates; bromates and perbromates; iodates","",""
"","","and periodates.","","",""
"","","Chlorates :","","",""
"","2829.11","Of sodium","","","Exempt"
"28.30","","","Sulphides; polysulphides, whether or not chemically defined.","",""
"","2830.90","Other","","","Exempt"
"28.31","","Dithionites and sulphyoxylates.","","",""
"","2831.90","Other","","","Exempt"
"28.33","","Sulphates; alums; peroxosulphates (persulphates).","","",""
"","","Other sulphates :","","",""
"","2833.29","Other :","","",""
"","2833.29.10","Thallium sulphate","","","Exempt"
"28.34","","Nitrites; nitrates.","","",""
"","2834.10","Nitrites","","","Exempt"
