"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of the","Government","Government"
"","","","Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"104
Sri  Lanka  Navy","22301 Advances  to  Public  Officers","455,000,000","320,000,000","900,000,000","—"
"105
Sri  Lanka  Navy","22302    Stores  Advances  Account","495,000,000","500,000,000","450,000,000","—"
"","(Explosive items)","","","",""
"106
Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","500,000,000","390,000,000","1,575,000,000","—"
"107 Department  of  Police","22501 Advances  to  Public  Officers","1,400,000,000","1,100,000,000","4,500,000,000","—"
"108 Department  of  Immigration","22601 Advances  to  Public  Officers","30,000,000","22,700,000","154,000,000","—"
"and  Emigration","","","","",""
"109 Department  of  Registration","22701 Advances  to  Public  Officers","18,000,000","11,000,000","65,000,000","—"
"of  Persons","","","","",""
"110 Courts  Administration","22801 Advances  to  Public  Officers","260,420,000","170,000,000","850,000,000","—"
"111 Department  of  Debt","23101 Advances  to  Public  Officers","1,000,000","200,000","3,500,000","—"
"Conciliation  Board","","","","",""
