"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of the","Government","Government"
"","","","Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"169 Department  of  Agriculture","28501 Advances  to  Public  Officers","180,000,000","150,000,000","500,000,000","—"
"170 Department  of  Agriculture","28502 Maintenance  of  Agricultural","440,000,000","440,000,000","70,000,000","—"
"","Farms and Seed Sales","","","",""
"171 Department  of  Land","28601 Advances  to  Public  Officers","14,000,000","12,000,000","70,000,000","—"
"Commissioner","","","","",""
"172 Department  of  Land","28701 Advances  to  Public  Officers","20,000,000","7,000,000","65,000,000","—"
"Settlement","","","","",""
"173 Department  of Surveyor","28801 Advances  to  Public  Officers","150,000,000","100,000,000","400,000,000","—"
"General","","","","",""
"174 Department  of  Export","28901 Advances  to  Public  Officers","30,000,000","20,000,000","120,000,000","—"
"Agriculture","","","","",""
"175 Department  of  Fisheries  and","29001 Advances  to  Public  Officers","25,000,000","13,500,000","110,000,000","—"
"Aquatic  Resources","","","","",""
"176 Department  of  Coast","29101 Advances  to  Public  Officers","11,250,000","7,000,000","51,034,895","—"
"Conservation","","","","",""
"177 Department  of  Animal","29201 Advances  to  Public  Officers","26,000,000","16,000,000","110,000,000","—"
"Production  and  Health","","","","",""
"178 Department  of  Rubber","29301 Advances  to  Public  Officers","18,000,000","10,000,000","55,000,000","—"
"Development","","","","",""
"179 Department  of  National","29401 Advances  to  Public  Officers","12,000,000","8,000,000","58,000,000","—"
"Zoological  Gardens","","","","",""
"180 Department  of  Commerce","29501 Advances  to  Public  Officers","6,000,000","2,000,000","20,000,000","—"
