"","","","","ரூபாரூபா","ரூபாரூபா"
"","","அலேவு வருோறு :-","","",""
"","தலைப்பு","116","வர்த்த்க, வாைிப, உைவுப் பாது்காப்பு ேற்றும் கூட்டுைவு அபிவிருத்தி அலே்சசர்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","500,000,000","60,000,000"
"","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","700,000,000","100,000,000"
"5","தலைப்பு","295","வாைிபத் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","326,000,000","30,000,000"
"","தலைப்பு","297","்கம்பனி்கள் பதிவாைர் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","125,000,000","-"
"","தலைப்பு","298","அைவுக்கூறு்கள், ்கட்்டலை்கள் ேற்றும் மசலவ்கள் திலைக்்கைம்","",""
"10","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","245,000,000","-"
"","தலைப்பு","299","இைங்ல்க மதசிய புைலே்ச சசாத்து அலுவை்கம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","80,000,000","-"
"","தலைப்பு","300","உைவு ஆலையாைர் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","103,000,000","207,000,000"
"15","தலைப்பு","301","கூட்டுைவு அபிவிருத்தித் திலைக்்கைம் (கூட்டுைவு்ச சங்்கங்்கைின் பதிவாைர்)","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","95,000,000","102,000,000"
