"","","","","ரூபாரூபா","ரூபாரூபா"
"","","அலேவு வருோறு :-","","",""
"","தலைப்பு","118","்கேத்சதாழில், ்கால்நல்ட வைங்்கள், ்காைி ேற்றும் நகீர்ப்பாசன அலே்சசர்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","4,294,000,000","277,000,000"
"","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","49,453,000,000","97,089,000,000"
"5","தலைப்பு","281","்கேநை அபிவிருத்தித் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","1,000,000,000","90,000,000"
"","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","12,107,000,000","4,270,000,000"
"","தலைப்பு","282","நகீர்ப்பாசனத் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","1,066,000,000","129,000,000"
"10","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","4,086,000,000","20,609,000,000"
"","தலைப்பு","285","்கேத்சதாழில் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 01 
சசயல்முலை்ச சசயற்பாடு்கள்","837,000,000","73,000,000"
"","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","7,037,000,000","4,413,000,000"
"","தலைப்பு","286","்காைி ஆலையாைர் நாய்கம் திலைக்்கைம்","",""
"15","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","804,000,000","126,000,000"
"","தலைப்பு","287","்காைி உாித்து நிர்ையத் திலைக்்கைம்","",""
"","","","நி்கழ்்சசித்திட்்டம் 02 
அபிவிருத்தி்ச சசயற்பாடு்கள்","986,000,000","38,000,000"
