"","","Capital","28,097,800,000","",""
"Made  up  as  follows  :—","","","","",""
"Head","130","Minister  of  Local  Government  and  Provincial  Councils","","",""
"","","Programme  01","Operational  Activities","165,210,000","37,670,000"
"","","Programme  02","Development  Activities","—","5,504,800,000"
"Head","312","Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","6,100,000,000","—"
"","","Programme  02","Development  Activities","—","2,205,600,000"
"Head","313","Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","13,000,000,000","—"
"","","Programme  02","Development  Activities","—","2,554,650,000"
"Head","314","Southern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","10,500,000,000","—"
"","","Programme  02","Development  Activities","—","2,123,040,000"
"Head","315","Northern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","8,400,000,000","—"
"","","Programme  02","Development  Activities","—","3,107,170,000"
"Head","316","North  Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","12,300,000,000","—"
"","","Programme  02","Development  Activities","—","1,932,800,000"
"Head","317","North  Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","7,300,000,000","—"
"","","Programme  02","Development  Activities","—","2,609,850,000"
