"","","","","of  the","of  the","of  the","of  the"
"","","","","Government","Government","Government","Government"
"","","","","Rs.","Rs.","Rs.","Rs."
"7 4","Department  of  National","20901","Advances  to  Public  Officers","7,000,000","2,400,000","23,400,000","—"
"","Archives","","","","","",""
"7 5","Department  of  Information","21001","Advances  to  Public  Officers","13,000,000","5,200,000","45,000,000","—"
"7 6","Department  of  Government","21101","Advances  to  Public  Officers","80,000,000","38,000,000","300,000,000","—"
"","Printer","","","","","",""
"7 7","Department  of  Examinations 21201","","Advances  to  Public  Officers","27,000,000","13,500,000","112,000,000","—"
"7 8","Department  of  Educational","21301","Advances  to  Public  Officers","9,000,000","3,500,000","34,000,000","—"
"","Publications","","","","","",""
"79","Department  of  Educational","21302","Printing,  Publicity  and","3,800,000,000","3,800,000,000","4,000,000,000","100,000,000"
"","Publications","","Sales  of  Publications","","","",""
"8 0","Department  of  Technical","21501","Advances  to  Public  Officers","83,724,000","42,000,000","290,000,000",""
"","Education  and  Training","","","","","",""
"8 1","Department  of  Social","21601","Advances  to  Public  Officers","26,000,000","11,300,000","99,000,000","—"
"","Services","","","","","",""
"8 2","Department  of  Probation","21701","Advances  to  Public  Officers","18,000,000","6,000,000","66,000,000","—"
"","and  Child  Care  Services","","","","","",""
"8 3","Department  of  Commissioner 21801","","Advances  to  Public  Officers","22,791,000","7,200,000","82,000,000","—"
"","General  of  Samurdhi","","","","","",""
"8 4","Department  of  Sports","21901","Advances  to  Public  Officers","8,000,000","4,200,000","33,000,000","—"
"","Development","","","","","",""
