"jiyg;G","","","","","kPz;LtUk;","%yjdr;","",""
",y.","","","","","nrytpdk;","nrytpdk;","","34"
"","","","","","&gh","&gh","",""
"","","","kPs;FbNaw;w  mikr;R","","","","",""
"","","","kPz;LtUk; nrytpdk;","390>265>000","","","",""
"","","","%yjdr;  nrytpdk;","1>358>340>000","","","",""
"mikT  tUkhW","",":","","","","","",""
"jiyg;G","145","","kPs;FbNaw;w  mikr;rh;","","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","137>195>000","6>840>000","",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","253>070>000","1>351>500>000","",""
"","","","ifj;njhopy;>  thzpg  mikr;R","","","","",""
"","","","kPz;LtUk; nrytpdk;","715>500>000","","","",""
"","","","%yjdr;  nrytpdk;","1>748>185>000","","","rl;lk;","2010 Mk; Mz;bd; 20 Mk; ,yf;f> xJf;fPl;Lr;"
"","mikT  tUkhW",":","","","","","",""
"jiyg;G","149","","ifj;njhopy;> thzpg mikr;rh;","","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","165>890>000","12>350>000","",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","371>705>000","1>210>110>000","",""
"jiyg;G","295","","th;j;jfj;  jpizf;fsk;","","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","81>820>000","8>925>000","",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","-","492>700>000","",""
"jiyg;G","297","","fk;gdpfs;  gjpthsh;  jpizf;fsk;","","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","23>670>000","-","",""
"jiyg;G","299","",",yq;ifj;  Njrpa  Gyikr;  nrhj;J  mYtyfk;","","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","16>560>000","-","",""
