"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","185.4879"
"45.","Taiwan","TW","Dollar","TWD","6.0076"
"46.","Thailand","TH","Baht","THB","6.0661"
"47.","U.A.E.","AE","Dirham","AED","49.8207"
"48.","United Kingdom","GB","Sterling-Pound","GBP","237.1470"
"49.","United States of America","US","Dollar","USD","182.9838"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0352"
"51.","Zambia (New)","ZM","Kwacha","ZMW","13.7478"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4822"
