"","","","","","","","[sections 3, 4, 8 and 9]"
"","","","THIRD SCHEDULE","","","",""
"","","","ESTIMATE — 2026","","","",""
"","","","Limits of Advance Accounts Activities","","","",""
"","","","I","II","III","IV","V"
"","SRL 
Ministries / Departments","Item","Activities of the","","","",""
"","No.","No.","Government","Maximum","Minimum","Maximum","Maximum"
"","","","","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","","Receipts to be  Debit Balance","Liabilities"
"","","","","of Activities","credited to the","of Activities","of Activities"
"","","","","of the","Accounts of","of the","of the"
"","","","","Government","Activities of the  Government","","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"1","His Excellency the President","00101","Advances to Public","","","",""
