"","103","Department of Registrar","25401","Advances to Public","","","",""
"","","General","","Officers","220,000,000","145,000,000","550,000,000","-"
"","104","District Secretariat , Colombo","25501","Advances to Public","","","",""
"","","","","Officers","150,000,000","115,000,000","678,000,000","-"
"","105","District Secretariat, Gampaha","25601","Advances to Public","","","",""
"5","","","","","","","",""
"","","","","Officers","212,000,000","176,000,000","765,000,000","-"
"","106","District Secretariat , Kalutara","25701","Advances to Public","","","",""
"","","","","Officers","192,000,000","138,000,000","686,000,000","-"
"","107","District Secretariat, Kandy","25801","Advances to Public","","","",""
"","","","","Officers","258,000,000","171,000,000","650,000,000","-"
"10","","","","","","","",""
"","108","District Secretariat , Matale","25901","Advances to Public","","","",""
"","","","","Officers","150,000,000","100,000,000","370,000,000","-"
"","109","District Secretariat,","26001","Advances to Public","","","",""
"","","Nuwara-Eliya","","Officers","97,000,000","76,000,000","227,000,000","-"
"15","110","District Secretariat, Galle","26101","Advances to Public","","","",""
"","","","","Officers","257,000,000","180,000,000","853,000,000","-"
"","111","District Secretariat, Matara","26201","Advances to Public","","","",""
"","","","","Officers","192,000,000","156,000,000","690,000,000","-"
"","112","District Secretariat,","26301","Advances to Public","","","",""
"20","","Hambantota","","Officers","136,000,000","105,000,000","272,000,000","-"
"","113","District Secretariat/","26401","Advances to Public","","","",""
"","","Kachcheri-Jaffna","","Officers","181,000,000","125,000,000","425,000,000","-"
"","114","District Secretariat/","26501","Advances to Public","","","",""
"","","Kachcheri-Mannar","","Officers","80,000,000","35,000,000","162,000,000","-"
"25","115","District Secretariat/","26601","Advances to Public","","","",""
"","","Kachcheri-Vavuniya","","Officers","70,000,000","35,000,000","170,000,000","-"
