"","81","Law Commission of Sri Lanka","23501","Advances to Public","","","",""
"","","","","Officers","3,000,000","2,000,000","7,000,000","-"
"","82","Department of Official","23601","Advances to Public","","","",""
"","","Languages","","Officers","10,000,000","7,000,000","25,000,000","-"
"5","83","Department of National","23701","Advances to Public","","","",""
"","","Planning","","Officers","7,000,000","5,000,000","15,000,000","-"
"","84","Department of Fiscal Policy","23801","Advances to Public","","","",""
"","","","","Officers","6,000,000","4,000,000","15,000,000","-"
"","85","Department of External","23901","Advances to Public","","","",""
"","","Resources","","Officers","15,000,000","10,000,000","35,000,000","-"
"10","","","","","","","",""
"","86","Department of National","24001","Advances to Public","","","",""
"","","Budget","","Officers","20,000,000","11,000,000","50,000,000","-"
"","87","Department of Public","24101","Advances to Public","","","",""
"","","Enterprises","","Officers","9,000,000","6,000,000","22,000,000","-"
"15","88","Department of Management","24201","Advances to Public","","","",""
"","","Services","","Officers","13,000,000","7,000,000","27,000,000","-"
"","89","Department of Development","24301","Advances to Public","","","",""
"","","Finance","","Officers","9,000,000","6,000,000","20,000,000","-"
"","90","Department of Trade and","24401","Advances to Public","","","",""
"20","","","","","8,000,000","5,000,000","25,000,000","-"
"","","Investment Policies","","Officers","","","",""
"","91","Department of Public Finance","24501","Advances to Public","","","",""
"","","","","","9,000,000","6,000,000","17,000,000","-"
"","","","","Officers","","","",""
"","92","Department  of Inland","24601","Advances to Public","","","",""
"","","","","","120,000,000","113,000,000","450,000,000","-"
"","","Revenue","","Officers","","","",""
"25","93","Sri Lanka Customs","24701","Advances to Public","","","",""
"","","","","","100,000,000","70,000,000","250,000,000","-"
"","","","","Officers","","","",""
