"Head","Institutions  and  Programmes","Recurrent","Capital"
"","","Expenditure","Expenditure"
"","","Rupees","Rupees"
"811","Department  of  Health","",""
"","Programme 03 - Provincial Council  Administration","228,789,000.00",""
"","Programme  71  -  Hospital  Services","6,192,070,000.00",""
"","Programme 72 - Public  Health Services","1,190,360,000.00",""
"812","Department of Ayurveda","",""
"","Programme 73 - Indigenous Medicine  Services","519,998,100.00",""
"813","Department  of  Co-operative  Development","",""
"","Programme  53  -  Co-operative  Development","92,929,800.00",""
"814","Department  of  Local  Government","",""
"","Programme 60 - Community Development","2,262,693,000.00",""
"820","Ministry  of  Provincial  Road  Development,  Rural","",""
"","Infrastructure  facilities, Tourism and Sports & Youth Affairs","",""
"","Programme 03 - Provincial Council Administration","57,225,000.00","-"
"","Programme 50 - Construction &  Road Maintenance","600,000,000.00","433,000,000.00"
"","Programme 52 - Regional Development","","24,000,000.00"
"","Programme 90 - Recreational  Activities and  Sports","","121,591,000.00"
"821","Department  of  Sports  Development","",""
"","Programme 90 - Recreational Activities and Sports","70,467,000.00","-"
"830","Ministry  of  Social  Welfare,  Probation  and  Childcare,  Rural","",""
"","Development  and  Rural  Industries","",""
"","Programme 03 - Provincial Council Administration","45,704,670.00",""
"","Programme 51 - Industrial Development","","77,000,000.00"
"","Programme 60 - Community Development","30,026,375.00","167,429,000.00"
"","Programme 95 - Social Security","","144,500,000.00"
"831","Department  of  Industrial  Development","",""
"","Programme 51 - Industrial Development","142,177,000.00",""
"832","Department  of  Probation,  Childcare  and  Social  Services","",""
"","Programme 95 - Social Security","341,200,000.00",""
"840","Ministry  of  Education,  Information Technology  and","",""
"","Cultural Affairs","",""
"","Programme 03 - Provincial Council   Administration","115,646,360.00","2,304,210,000.00"
"","Programme 80 - Primary Education","","82,775,000.00"
"","Programme 81 - Secondary Education","","561,940,500.00"
"","Programme 93 - Religious and Cultural Affairs","17,702,600.00","32,585,000.00"
"841","Department  of  Education","",""
"","Programme 03 - Provincial Council  Administration","562,330,000.00",""
"","Programme 80 - Primary Education","4,805,634,807.36",""
"","Programme 81 - Secondary Education","9,020,928,625.00",""
"","Programme 87 - Development of  Participatory Education","27,165,000.00",""
"","Programme 88 - Education Planning, Control and Providing","14,088,000.00",""
"","Service","",""
