"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of the","Government","Government"
"","","","Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"7 6","Minister  of  Telecommunication  18501 Advances  to  Public  Officers","2,500,000","500,000","8,500,000","—"
"","and  Information  Technology","","","",""
"7 7","Minister  of  Sugar  Industry
18601 Advances  to  Public  Officers","1,000,000","300,000","15,000,000","—"
"","Development","","","",""
"7 8","Minister  of  Investment
18701 Advances  to  Public  Officers","1,500,000","600,000","10,000,000","—"
"","Promotion","","","",""
"7 9","Minister  of  Botanical  Gardens    18801
Advances  to  Public  Officers","2,000,000","300,000","5,000,000","—"
"","and  Public  Recreation","","","",""
"8 0","Minister  of  Education
18901 Advances  to  Public  Officers","4,000,000","500,000","10,000,000","—"
"","Services","","","",""
"8 1","Minister  of  Law
19001 Advances  to  Public  Officers","130,000,000","55,000,000","600,000,000","—"
"","and  Order","","","",""
"8 2","Minister  of  Special
19101 Advances  to  Public  Officers","1,000,000","200,000","4,500,000","—"
"","Projects","","","",""
"8 3","Department  of  Buddhist
20101 Advances  to  Public  Officers","15,000,000","10,000,000","58,000,000","—"
"","Affairs","","","",""
"8 4","Department  of  Muslim
20201 Advances  to  Public  Officers","2,500,000","900,000","12,000,000","—"
"","Religious  and  Cultural","","","",""
"","Affairs","","","",""
"8 5","Department  of  Christian
20301 Advances  to  Public  Officers","2,000,000","500,000","6,500,000","—"
"","Religious  Affairs","","","",""
