"6 2","Minister  of  Water  Supply","16601 Advances  to  Public  Officers","4,500,000","2,300,000","17,000,000","—"
"","and  Drainage","","","","",""
"6 3","Minister  of  Higher Education","17101 Advances  to  Public  Officers","4,500,000","2,200,000","18,000,000","—"
"6 4","Minister  of  Public","17301 Advances  to  Public  Officers","3,000,000","1,000,000","12,000,000","—"
"","Management  Reforms","","","","",""
"6 5","Minister  of  Rehabilitation","17401 Advances  to  Public  Officers","4,000,000","1,200,000","15,000,000","—"
"","and  Prison  Reforms","","","","",""
"6 6","Minister  of  State  Resources","17501 Advances  to  Public  Officers","4,000,000","1,500,000","17,000,000","—"
"","and  Enterprise  Development","","","","",""
"6 7","Minister  of  Civil  Aviation","17601 Advances  to  Public  Officers","2,500,000","1,300,000","9,000,000","—"
"6 8","Minister  of  Culture  and  the","17701 Advances  to  Public  Officers","28,000,000","14,000,000","100,000,000","—"
"","Arts","","","","",""
"6 9","Minister  of  Coconut","17801 Advances  to  Public  Officers","9,000,000","2,000,000","25,000,000","—"
"","Development  and  Janatha","","","","",""
"","Estate  Development","","","","",""
"7 0","Minister  of  Wildlife","17901 Advances  to  Public  Officers","4,500,000","1,700,000","30,000,000","—"
"","Resources  Conservation","","","","",""
"7 1","Minister  of  Minor  Export","18001 Advances  to  Public  Officers","3,500,000","1,000,000","16,000,000","—"
"","Crop  Promotion","","","","",""
"7 2","Minister  of  Productivity","18101 Advances  to  Public  Officers","7,500,000","2,200,000","25,000,000","—"
"","Promotion","","","","",""
"7 3","Minister  of  Foreign","18201 Advances  to  Public  Officers","20,000,000","3,000,000","24,000,000","—"
"","Employment  Promotion","","","","",""
"","and  Welfare","","","","",""
"7 4","Minister  of  Public  Relations","18301 Advances  to  Public  Officers","3,000,000","700,000","9,000,000","—"
"","and  Public  Affairs","","","","",""
"7 5","Minister  of  Private  Transport","18401 Advances  to  Public  Officers","2,000,000","600,000","6,000,000","—"
"","Services","","","","",""
