"Column  I","Column  II"
"Year","Amount  of  Levy"
"(iii)
without  the  use  of  live  telecast","Twenty-five  thousand"
"facilities","rupees"
"5. For  every  year  commencing  on  or",""
"after  April  1,  2006    but  prior  to  April  1,",""
"2013  where  the  business    of  bookmaker  is",""
"carried  out–",""
"(i)
through  an  agent","One  million  rupees"
"(ii)
with 
the  use  of 
live 
telecast","Three  hundred  thousand"
"facilities","rupees"
"(iii)
without  the  use  of  live  telecast",""
"facilities","Fifty  thousand  rupees"
"6. For  every  year  commencing  on  or",""
"after  April  1,  2013    but  prior  to  April  1,",""
"2015  where  the  business    of  bookmaker  is",""
"carried  out–",""
"(i)
through  an  agent","Two  million  rupees"
"(ii)
with 
the  use  of 
live 
telecast","Three  hundred  thousand"
"facilities","rupees"
"(iii)
without  the  use  of  live  telecast","Twenty-five  thousand"
"facilities","rupees"
"7. For  every  year  commencing  on  or",""
"after  April  1,  2015  but  ending  prior  to",""
"April  1,  2023  where  the  business    of",""
"bookmaker  is  carried  out  –",""
"(i)
through  an  agent","Four  million  rupees"
"(ii) with 
the  use  of 
live 
telecast","Six  hundred 
thousand"
"facilities","rupees"
"(iii) without  the  use  of  live  telecast","Fifty-five"
"facilities.","thousand  rupees"
