"","Head","","Recurrent
Capital"
"","No.","","Expenditure
Expenditure"
"","","","Rs.
Rs."
"","Head
274","District  Secretariat,  Anuradhapura",""
"","","Programme  01
Operational  Activities","1,163,000,000                     342,000,000"
"","Head
275","District  Secretariat  -  Polonnaruwa",""
"","","Programme  01
Operational  Activities","598,000,000
                255,000,000"
"5","Head
276","District  Secretariat  -  Badulla",""
"","","Programme  01
Operational  Activities","987,000,000                     617,000,000"
"","Head
277","District  Secretariat,  Monaragala",""
"","","Programme  01
Operational  Activities","669,000,000                     271,000,000"
"","Head
278","District  Secretariat,  Rathnapura",""
"10","","Programme  01
Operational  Activities","1,220,000,000                     273,000,000"
"","Head
279","District  Secretariat,  Kegalle",""
"","","Programme  01
Operational  Activities","1,115,000,000                     550,000,000"
"","Head
312","Western  Provincial  Council",""
"","","Programme  01
Operational  Activities","54,905,000,000
-"
"15","","Programme  02
Development  Activities","-
1,884,000,000"
"","Head 313","Central  Provincial  Council",""
"","","Programme  01
Operational  Activities","40,527,000,000
-"
"","","Programme  02
Development  Activities","-
2,191,000,000"
"","Head
314","Southern  Provincial  Council",""
"20","","Programme  01
Operational  Activities","38,566,000,000
-"
"","","Programme  02
Development  Activities","-
1,986,000,000"
