"","No.","","Expenditure
Expenditure"
"","","","Rs.
Rs."
"","Made  up  as  follows  :-","",""
"","Head
130","Minister  of  Public  Administration,  Home  Affairs,  Provincial  Councils",""
"","","and  Local  Government",""
"","","Programme  01
Operational  Activities","13,219,000,000
                648,000,000"
"","","Programme  02
Development  Activities","16,000,000
  28,610,000,000"
"5","","",""
"","Head
236","Department  of  Official  Languages",""
"","","Programme  01
Operational  Activities","180,000,000
            7,000,000"
"","Head
253","Department  of  Pensions",""
"","","Programme  01
Operational  Activities","362,855,000,000
          90,000,000"
"","Head 254","Department  of  Registrar  General",""
"10","","",""
"","","Programme  01
Operational  Activities","3,615,000,000                   415,000,000"
"","Head
255","District  Secretariat,  Colombo",""
"","","Programme  01
Operational  Activities","1,925,000,000
                210,000,000"
"","Head
256","District  Secretariat,  Gampaha",""
"","","Programme  01
Operational  Activities","2,565,000,000
                765,000,000"
"15","","",""
"","Head
257","District  Secretariat,  Kalutara",""
"","","Programme  01
Operational  Activities","2,075,000,000                     170,000,000"
"","Head
258","District  Secretariat,  Kandy",""
"","","Programme  01
Operational  Activities","2,960,000,000                     220,000,000"
