"","","","","of the","Accounts  of
of  the","of the"
"","","","","Government","Activities  of the
Government","Government"
"","","","","","Government",""
"","","","","Rs.","Rs.
Rs.","Rs."
"","2 6","Minister  of  Justice,  Prison","","","",""
"","","Affairs  and  Constitutional  Reforms","11001 Advances  to  Public  Officers","40,000,000","24,000,000 150,000,000","—"
"","2 7","Minister  of  Health","11101 Advances  to  Public  Officers","1,600,000,000    1,127,000,000   3,500,000,000","","—"
"","2 8","Minister  of  Foreign  Affairs","11201 Advances  to  Public  Officers","35,000,000","35,000,000 130,000,000","—"
"5","2 9","Minister  of  Trade,  Commerce  and","","","",""
"","","Food  Security","11601 Advances  to  Public  Officers","20,000,000","4,500,000
70,000,000","—"
"","3 0","Minister  of  Transport  and","","","",""
"","","Highways","11701 Advances  to  Public  Officers","35,000,000","16,500,000 120,000,000","—"
"","3 1","Minister  of  Agriculture","11801 Advances  to  Public  Officers 100,000,000","","39,000,000 300,000,000","—"
"10","3 2","Minister  of  Power  and  Energy","11901 Advances  to  Public  Officers","8,700,000","5,500,000
35,000,000","—"
"","3 3","Minister  of  Tourism  and  Lands","12201 Advances  to  Public  Officers","23,000,000","16,000,000 120,000,000","—"
"","3 4","Minister  of  Urban  Development","","","",""
"","","and  Housing","12301 Advances  to  Public  Officers","50,000,000","20,000,000
160,000,000","—"
"","3 5","Minister  of  Education","12601 Advances  to  Public  Officers","3,154,000,000","1,120,000,000
6,000,000,000","—"
"15","3 6","Minister  of  Public  Administration,","","","",""
"","","Home  Affairs,  Provincial  Councils","","","",""
"","","and  Local  Government","13001 Advances  to  Public  Officers","100,000,000","300,000,000
40,000,000","—"
