"","111","Ministry  of  Health","Medical  Ordinance","Programme  01-","2,000","—","","2,000"
"","","","(Chapter  105)","Operational","","","",""
"","","","","Activities","","","",""
"","249","Department  of  Treasury","(Section  2  paragraphs  (a)","","Programme  01-    2,634,104,400,000    1,263,744,700,000    3,897,849,100,000","","",""
"5","","Operations","and  (c)  of  the  Foreign  Loans","Operational","","","",""
"","","","Act,  No.  29  of  1957,  Local","Activities","","","",""
"","","","Treasury  Bills  Ordinance","","","","",""
"","","","(Chapter  417)  section  6(1)  of","","","","",""
"","","","the  Active  Liability  Management","","","","",""
"10","","","Act,  No.  8  of  2018","","","","",""
"","253","Department  of  Pensions","Widows’  and  Orphans’  Pension","Programme  01-","68,000,000,000","","—","68,000,000,000"
"","","","Fund  Ordinance  (Chapter  431),","Operational","","","","Appropriation"
"","","","Widowers’  and","Activities","","","",""
"","","","Orphans’  Pensions  Act,  No.  24","","","","",""
"15","","","of  1983,  Widows’  and","","","","",""
"","","","Orphans’  Pension  Scheme","","","","",""
"","","","(Armed  Forces)  Act,  No.  18","","","","",""
"","","","of  1970,  School","","","","",""
"","","","Teachers’  Pensions  Act","","","","",""
"20","","","(Chapter  432)","","","","",""
