"Head","","Recurrent","Capital"
"No.","","Expenditure","Expenditure"
"","","Rs.","Rs."
"Head
238","Department  of  Fiscal  Policy","",""
"","Programme  01
Operational  Activities","3,724,091,000","3,600,000"
"Head
240","Department  of  National  Budget","",""
"","Programme  01
Operational  Activities","1,741,513,000","4,895,350,000"
"","Programme  02
Development  Activities","193,592,534,000","294,485,000,000"
"Head
241","Department  of  Public  Enterprises","",""
"","Programme  01
Operational  Activities","72,750,000","3,000,000"
"Head
242","Department  of  Management  Services","",""
"","Programme  01
Operational  Activities","57,230,000","2,900,000"
"Head
243","Department  of  Development  Finance","",""
"","Programme  01
Operational  Activities","364,332,000","1,300,000"
"","Programme  02
Development  Activities","—","4,463,875,000"
"Head
244","Department  of  Trade  and  Investment  Policy","",""
"","Programme  01
Operational  Activities","45,832,000","3,200,000"
"Head
245","Department  of  Public  Finance","",""
"","Programme  01
Operational  Activities","518,300,000","7,700,000"
"Head
246","Department  of  Inland  Revenue","",""
"","Programme  01
Operational  Activities","2,920,379,000","298,000,000"
"Head
247","Sri  Lanka  Customs","",""
"","Programme  01
Operational  Activities","2,033,032,000","180,000,000"
