"","Ministry/ Department","Code","Category of","Maximum  limit","Minimum","Maximum","Maximum"
"","","No.","Advance","of expenditure","limit of","limit of","limit of"
"","","","","","Receipt","debit balance","liabilities"
"","Provincial Public Officer’s Advance Accounts","","","","","",""
"16","Ministry of Provincial","82001","Provincial P: O:","6,000,000","1,956,000","13,243,994","-"
"","Roads Development, Rural","","Advance","","","",""
"","Infrastructure, Tourism and","","","","","",""
"","Sports and Youth Affairs","","","","","",""
"17","Department of Sports","82101","Provincial P: O:","3,000,000","1,050,000","7,132,260","-"
"","Development","","Advance","","","",""
"18","Ministry of Social Welfare,","83001","Provincial P: O:","15,000,000","3,600,000","24,526,157","-"
"","Probation and Childcare,","","Advance","","","",""
"","Rural Development and","","","","","",""
"","Rural Industries","","","","","",""
"19","Department of Industrial","83101","Provincial P: O:","50,000,000","9,000,000","72,000,000","-"
"","Development","","Advance","","","",""
"20","Department of Probation,","83201","Provincial P: O:","40,000,000","5,000,000","62,434,221","-"
"","Childcare and Social","","Advance","","","",""
"","Services","","","","","",""
"21","Ministry of Education,","84001","Provincial P: O:","20,000,000","6,000,000","35,000,000","-"
"","Information Technology","","Advance","","","",""
"","and Cultural Affairs","","","","","",""
"22","Department of Education","84101","Provincial P: O:","1,500,000,000","700,000,000","2,619,399,000","-"
"","","","Advance","","","",""
"23","Ministry of Lands,","85001","Provincial P: O:","5,000,000","2,000,000","13,000,000","-"
"","Provincial Irrigation,","","Advance","","","",""
"","Agriculture, Animal","","","","","",""
"","Production and Animal","","","","","",""
"","Health and Fisheries","","","","","",""
"24","Department of Land","85101","Provincial P: O:","10,000,000","6,000,000","19,163,788","-"
"","Commissioner","","Advance","","","",""
"25","Department of Agriculture","85201","Provincial P: O:","86,000,000","8,000,000","136,500,000","-"
"","","","Advance","","","",""
"26","Department of Animal","85301","Provincial P: O:","22,000,000","10,000,000","38,200,000","-"
"","Production and Health","","Advance","","","",""
"27","Department of Provincial","86101","Provincial P: O:","4,800,000","1,800,000","7,600,000","-"
"","Internal Audit","","Advance","","","",""
"Other Advance Accounts","","","","","","",""
"28","Provincial Council","80102","Miscellaneous","26,400,000","4,750,000","21,650,000","-"
"","Secretariat","","Advance","","","",""
"","","","for Council","","","",""
"","","","Members","","","",""
"29","Management Development","80502","Training Center","28,000,000","26,000,000","1,000,000","1,000,000"
"","and Training Centre -","","Advance","","","",""
"","Pussella","","Accounts","","","",""
