"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","182.6414"
"45.","Taiwan","TW","Dollar","TWD","5.9788"
"46.","Thailand","TH","Baht","THB","6.0372"
"47.","U.A.E.","AE","Dirham","AED","49.6612"
"48.","United Kingdom","GB","Sterling-Pound","GBP","235.4862"
"49.","United States of America","US","Dollar","USD","182.4131"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0351"
"51.","Zambia (New)","ZM","Kwacha","ZMW","12.5586"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4807"
