"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","186.7047"
"45.","Taiwan","TW","Dollar","TWD","6.0851"
"46.","Thailand","TH","Baht","THB","6.0698"
"47.","U.A.E.","AE","Dirham","AED","49.8384"
"48.","United Kingdom","GB","Sterling-Pound","GBP","237.7544"
"49.","United States of America","US","Dollar","USD","183.0640"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0352"
"51.","Zambia (New)","ZM","Kwacha","ZMW","13.2934"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4824"
