"Head","","Recurrent","Capital"
"No.","","Expenditure","Expenditure"
"","","Rs.","Rs."
"Head
954","North East Provincial Council","",""
"","Programme 52
Regional Development","11,242,159,000","4,100,170,000"
"Head
955","North Western Provincial Council","",""
"","Programme 52
Regional Development","8,615,938,000","2,014,050,000"
"Head
956","North Central Provincial Council","",""
"","Programme 52
Regional Development","5,294,160,000","1,884,400,000"
"Head
957","Uva Provincial Council","",""
"","Programme 52
Regional Development","4,927,574,000","1,613,450,000"
"Head
958","Sabaragamuwa Provincial Council","",""
"","Programme 52
Regional Development","5,574,852,000","2,015,600,000"
"","Ministry of Infrastructure Development and","",""
"","Fisheries Housing","",""
