"Head","","Recurrent","Capital","22"
"No.","","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"Head
907
Department of National Physical Planning","","","",""
"Programme 61","Housing and Community Amenities","101,300,000","154,500,000",""
"Ministry of  Social Services and Social Welfare","","","",""
"Recurrent","5,242,787,000","","",""
"Capital","173,173,000","","",""
"Made up as follows :—","","","",""
"Head
370
Minister  of  Social Services and Social Welfare","","","",""
"Programme 01","General Administration","16,873,000","2,000,000",""
"Programme 82","Assistance to Education","11,500,000","1,000,000","Appropriation Act, No. 39 of 2005"
"Programme 83","Vocational Training & Technical Education","14,500,000","51,000,000",""
"Programme 95","Social Protection","132,331,000","80,173,000",""
"Head
716
Department of Social Services","","","",""
"Programme 95","Social Protection","5,067,583,000","39,000,000",""
"Ministry of  Housing and Construction","","","",""
"Recurrent","337,272,000","","",""
"Capital","1,091,425,000","","",""
"Made up as follows :—","","","",""
"Head
380
Minister  of  Housing and Construction","","","",""
"Programme 01","General Administration","115,425,000","15,100,000",""
"Programme 61","Housing and Community Amenities","37,650,000","1,035,000,000",""
