"","","","of the","of the","of the","of the"
"","","","Government","Government","","Government Government"
"","","","Rs.","Rs.","Rs.","Rs."
"70 Minister of Agriculture","61001","Advances to Public Officers","10,725,000","4,495,000","85,000,000","—"
"Development","","","","","",""
"71 Minister of Industrial","62001","Advances to Public Officers","7,000,000","2,000,000","30,000,000","—"
"Develpoment","","","","","",""
"72 Minister of Road Development","63001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"73 Minister of Foreign","64001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Employment Promotion","","","","","",""
"74 Minister of Irrigation","65001","Advances to Public Officers","8,000,000","4,000,000","33,000,000","—"
"75 Minister of Agrarian Services","66001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"and Development of Farmer","","","","","",""
"Communities","","","","","",""
"76 Minister for Promotion of","67001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Botanical and Zoological","","","","","",""
"Gardens","","","","","",""
"77 Minister of Regional","68001","Advances to Public Officers","10,000,000","1,000,000","30,000,000","—"
"Development","","","","","",""
"78 Minister of Skills Development","69001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"and Public Enterprise","","","","","",""
"Reforms","","","","","",""
"79 Minister of New Railroad","70001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Development","","","","","",""
