"Head","","Recurrent","Capital"
"No.","","Expenditure","Expenditure"
"","","Rs.","Rs."
"Head
804","Department of State Accounts","",""
"","Programme 08
Financial Management","27,515,000","2,900,000"
"Head
805","Department of Public Finance","",""
"","Programme 08
Financial Management","41,000,000","1,000,000"
"Head
806","Department of External Resources","",""
"","Programme 13
Foreign Aid Management","145,832,000","13,948,800,000"
"Head
807","Department of Management Services","",""
"","Programme 09
Human Resources Management","23,195,000","2,750,000"
"Head
808","Department of Inland Revenue","",""
"","Programme 10
 Tax & Duty Administration","822,797,000","1,364,950,000"
"Head
809","Sri Lanka Customs","",""
"","Programme 10
Tax & Duty Administration","1,001,110,000","231,500,000"
"Head
811","Department of Excise","",""
"","Programme 10
Tax & Duty Administration","257,180,000","35,225,000"
"Head
812","Department of Valuation","",""
"","Programme 01
General Administration","96,500,000","3,000,000"
"Head
813","Department of Census and Statistics","",""
"","Programme 12
Statistical Services","376,347,000","20,230,000"
"Head
814","Department of National Planning","",""
"","Programme 16
Policy Development","32,000,000","9,000,000"
