"Head","","Recurrent","Capital","40"
"No.","","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"","Ministry for Promotion of Botanical and Zoological Gardens","","",""
"","Recurrent
204,323,000","","",""
"","Capital
87,960,000","","",""
"Made up as follows :—","","","",""
"Head
670","Minister for Promotion of Botanical and Zoological Gardens","","",""
"","Programme 01          General Administration","42,223,000","4,960,000",""
"","Programme 44          Agriculture Development","84,500,000","50,000,000",""
"Head
864","Department of National Zoological Gardens","","","Appropriation Act, No. 39 of 2005"
"","Programme 01          General Administration","7,417,000","1,505,000",""
"","Programme 92
Zoological Services","70,183,000","31,495,000",""
"","Ministry of Regional Development","","",""
"","Recurrent
158,080,000","","",""
"","Capital
1,775,082,000","","",""
"Made up as follows :—","","","",""
"Head
680","Minister  of Regional Development","","",""
"","Programme 01
General Administration","74,980,000","10,300,000",""
"","Programme 52
Regional Development","83,100,000","1,764,782,000",""
