"Head","","Recurrent","Capital","20"
"No.","","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"","Ministry of Child Development and Women’s","","",""
"","Empowerment","","",""
"","Recurrent
261,914,000","","",""
"","Capital
102,750,000","","",""
"Made up as follows :—","","","",""
"Head
330","Minister of Child’s Development and Women’s  Empowerment","","",""
"","Programme 01
General Administration","16,000,000","2,000,000",""
"","Programme 95
Social  Protection","130,505,000","60,000,000",""
"","Programme 96
Women Development","17,559,000","38,450,000",""
"Head
717","Department of Probation and Child Care Services","","","Appropriation Act, No. 39 of 2005"
"","Programme 95
Social  Protection","97,850,000","2,300,000",""
"","Ministry of Public Administration and Home Affairs","","",""
"","Recurrent
 37,340,164,000","","",""
"","Capital
 467,050,000","","",""
"Made up as follows :—","","","",""
"Head
340","Minister of Public Administration and Home Affairs","","",""
"","Programme 01
General Administration","280,364,000","283,050,000",""
"Head
815","Department of Pensions","","",""
"","Programme 95
Social protection","36,729,800,000","12,000,000",""
"Head
816","Department of Registrar General","","",""
"","Programme 01
General Administration","330,000,000","172,000,000",""
