"Column I","Column II","Column III"
"Lanka Gamage Nilanga Dilhan Somapala","02.09.2019","Powers under the Co-operative Societies Law, No. 5"
"","","of  1972    read  with  the  Co-operative  Societies"
"","","(Amendment)  Act,  No.  32  of  1983  and  the"
"","","Co-operative Societies (Amendment) Act, No. 11 of"
"","","1992 Law - All the powers of the Registrar under the"
"","","Sections 3, 5, 6, 7, 8, 9, 33, 43(a), 43(b), 44 (except 44"
"","","(6)), 45, 46, 48, 49, 50, 52, 53, 54 (except 54 (2)), 58,"
"","","(except 58 (2) (a)), 59, 60, (a), 66 (a), 68 and 72."
"","","Powers of the Co-operative Rules"
"","","All the powers of Registrar under rules 4, 11, 15, 16"
"","","(ii), 18, 19, 27, 33, 35, 37, 40, 41, 42, 43, 48, 49, (except"
"","","49 (xii)), 52 and 53."
