"Column  I","Column  II"
"Year","Amount  of  Levy"
"1. For  every  year  commencing  on",""
"or  after  April  1,  1988  but  prior  to",""
"April  1,  2001.","One  million  rupees."
"2. For  every  year  commencing  on",""
"","Twenty  five  million"
"or  after  April  1,  2001,  but  prior  to",""
"April  1,  2002.","rupees."
"3. For  every  year  commencing  on  or",""
"after  April  1,  2002,  but  prior  to",""
"April  1,  2005-",""
"(i) For  carrying  on  the  business",""
"of  gaming  (other  than  for",""
"playing  rudjino).","Twelve  million  rupees."
"(ii)  For  carrying  on  the  business","Five  hundred  thousand"
"of  only  playing  rudjino.","rupees."
"4. For  carrying  on  the  business  of",""
"gaming  including  playing  rudjino",""
"for  every  year  commencing  on  or",""
"after  April  1,  2005,  but  prior  to",""
"","Fifty  million  rupees."
"April  1,  2013",""
"5. For  carrying  on  the  business  of",""
"gaming  including  playing  rudjino",""
"","One  hundred  million"
"for  every  year  commencing  on  or",""
"","rupees.”"
"after  April  1,  2013.",""
