"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"","","","2518","167480","135040"
"2475","166518","134986","","",""
"","","","2519","167490","135057"
"2476","166534","134982","","",""
"","","","2520","167490","135085"
"2477","166549","134981","","",""
"","","","2521","167539","135074"
"2478","166566","134972","","",""
"","","","2522","167539","135063"
"2479","166590","134968","","",""
"","","","2523","167579","135042"
"2480","166637","134942","","",""
"","","","2524","167570","135001"
"2481","166656","134922","","",""
"","","","2525","167608","135008"
"2482","166668","134929","","",""
"","","","2526","167636","135000"
"2483","166675","134947","","",""
"","","","2527","167675","135012"
"2484","166698","134944","","",""
"","","","2528","167712","135079"
"2485","166721","134952","","",""
"","","","2529","167737","135008"
"2486","166746","134964","","",""
"","","","2530","167741","135009"
"2487","166754","134973","","",""
"","","","2531","167756","135009"
"2488","166774","134985","","",""
"","","","2532","167763","134999"
"2489","166792","135004","","",""
"","","","2533","167773","134995"
"2490","166834","135048","","",""
"","","","2534","167780","135008"
"2491","166929","135063","","",""
"","","","2535","167776","135020"
"2492","166935","135045","","",""
"","","","2536","167791","135024"
"2493","166940","135027","","",""
"","","","2537","167781","135040"
"2494","166953","135026","","",""
"","","","2538","167776","135055"
"2495","166972","135025","","",""
"","","","2539","167796","135077"
"2496","166995","135025","","",""
"","","","2540","167783","135083"
"2497","166997","135039","","",""
"","","","2541","167784","135139"
"2498","166997","135072","","",""
"","","","2542","167799","135163"
"2499","167032","135074","","",""
"","","","2543","167820","135151"
"2500","167092","135074","","",""
"","","","2544","167841","135137"
"2501","167096","135079","","",""
"","","","2545","167856","135117"
"2502","167111","135047","","",""
"","","","2546","167868","135104"
"2503","167117","135037","","",""
"","","","2547","167881","135064"
"2504","167126","135039","","",""
"","","","2548","167872","135049"
"2505","167150","135040","","",""
"","","","2549","167867","135029"
"2506","167177","135040","","",""
"","","","2550","167883","135014"
"2507","167212","135059","","",""
"","","","2551","167893","135006"
"2508","167245","135067","","",""
"","","","2552","167896","134991"
"2509","167344","135048","","",""
"","","","2553","167908","134986"
"2510","167343","135025","2554","167932","135013"
"2511","167369","135015","","",""
"","","","2555","167928","135030"
"2512","167386","134996","","",""
"","","","2556","167955","135035"
"2513","167414","134995","","",""
"","","","2557","167977","135035"
"2514","167444","134998","","",""
"","","","2558","167990","135042"
"2515","167465","135018","","",""
"","","","2559","167991","135064"
"2516","167465","135030","","",""
"","","","2560","167972","135091"
"2517","167471","135033","","",""
