"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"","","","9570","164717","123354"
"9527","164952","123236","","",""
"","","","9571","164711","123336"
"9528","164939","123256","","",""
"","","","9572","164720","123328"
"9529","164924","123272","","",""
"","","","9573","164717","123323"
"9530","164917","123280","","",""
"","","","9574","164713","123317"
"9531","164908","123291","","",""
"","","","9575","164716","123304"
"9532","164892","123286","","",""
"","","","9576","164719","123276"
"9533","164878","123293","","",""
"","","","9577","164677","123256"
"9534","164858","123292","","",""
"","","","9578","164676","123257"
"9535","164864","123273","","",""
"","","","9579","164668","123268"
"9536","164867","123255","","",""
"","","","9580","164667","123289"
"9537","164880","123244","","",""
"","","","9581","164667","123305"
"9538","164886","123229","","",""
"","","","9582","164651","123302"
"9539","164892","123206","","",""
"","","","9583","164635","123313"
"9540","164893","123183","","",""
"","","","9584","164643","123322"
"9541","164911","123164","","",""
"","","","9585","164657","123323"
"9542","164929","123164","","",""
"","","","9586","164669","123339"
"9543","164951","123161","","",""
"","","","9587","164686","123338"
"9544","164947","123132","","",""
"","","","9588","164667","123347"
"9545","164935","123111","","",""
"","","","9589","164653","123339"
"9546","164921","123092","","",""
"","","","9590","164632","123336"
"9547","164901","123080","","",""
"","","","9591","164630","123357"
"9548","164884","123090","","",""
"","","","9592","164649","123363"
"9549","164852","123112","","",""
"","","","9593","164665","123377"
"9550","164845","123130","","",""
"","","","9594","164658","123397"
"9551","164845","123147","","",""
"","","","9595","164634","123391"
"9552","164840","123164","","",""
"","","","9596","164613","123398"
"9553","164838","123184","","",""
"","","","9597","164597","123406"
"9554","164838","123192","","",""
"","","","9598","164587","123391"
"9555","164837","123207","","",""
"","","","9599","164569","123388"
"9556","164834","123228","","",""
"","","","9600","164569","123371"
"9557","164809","123236","","",""
"","","","9601","164559","123356"
"9558","164808","123263","","",""
"","","","9602","164551","123337"
"9559","164804","123285","","",""
"","","","9603","164567","123326"
"9560","164820","123302","","",""
"","","","9604","164589","123326"
"9561","164803","123317","","",""
"","","","9605","164588","123311"
"9562","164799","123332","","",""
"","","","9606","164594","123293"
"9563","164787","123320","","",""
"","","","9607","164610","123279"
"9564","164760","123306","","",""
"","","","9608","164624","123272"
"9565","164754","123302","","",""
"","","","9609","164646","123256"
"9566","164750","123330","","",""
"","","","9610","164656","123244"
"9567","164739","123332","","",""
"","","","9611","164658","123223"
"9568","164747","123341","","",""
"","","","9612","164661","123199"
"9569","164737","123350","","",""
