"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"1415","165363","143690","1457","163873","145071"
"1416","165356","143732","1458","163851","145090"
"1417","165257","143746","1459","163830","145137"
"1418","165194","143810","1460","163825","145175"
"1419","165130","143838","1461","163810","145189"
"1420","165045","143845","1462","163761","145269"
"1421","165024","143916","1463","163681","145269"
"1422","165081","143923","1464","163589","145269"
"1423","165194","143923","1465","163527","145201"
"1424","165264","143979","1466","163459","145183"
"1425","165271","144064","1467","163392","145238"
"1426","165314","144156","1468","163336","145232"
"1427","165314","144220","1469","163312","145183"
"1428","165354","144270","1470","163299","145127"
"1429","165287","144266","1471","163176","145047"
"1430","165238","144259","1472","163127","144986"
"1431","165219","144309","1473","163053","145010"
"1432","165217","144336","1474","163084","145047"
"1433","165213","144323","1475","163170","145096"
"1434","165157","144271","1476","163189","145183"
"1435","165122","144220","1477","163195","145275"
"1436","165066","144220","1478","163152","145343"
"1437","165027","144280","1479","163096","145293"
"1438","164941","144284","1480","163059","145355"
"1439","164855","144336","1481","162970","145371"
"1440","164777","144422","1482","162936","145368"
"1441","164704","144530","1483","162914","145368"
"1442","164683","144603","1484","162881","145376"
"1443","164609","144625","1485","162839","145409"
"1444","164579","144573","1486","162832","145446"
"1445","164553","144504","1487","162830","145494"
"1446","164515","144508","1488","162793","145545"
"1447","164441","144582","1489","162738","145589"
"1448","164368","144715","1490","162684","145632"
"1449","164248","144775","1491","162662","145647"
"1450","164174","144862","1492","162621","145678"
"1451","164133","144894","1493","162595","145712"
"1452","164118","144905","1494","162597","145771"
"1453","164058","144909","1495","162595","145819"
"1454","164011","144952","1496","162594","145822"
"1455","163929","145030","1497","162567","145872"
"1456","163890","145056","1498","162553","145889"
