"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"","","","1037","177035","139558"
"995","178500","140142","","",""
"","","","1038","177066","139582"
"996","178475","140069","","",""
"","","","1039","177170","139564"
"997","178450","140019","","",""
"","","","1040","177230","139586"
"998","178383","140001","","",""
"","","","1041","177235","139608"
"999","178340","139995","","",""
"","","","1042","177257","139633"
"1000","178334","140050","","",""
"","","","1043","177293","139652"
"1001","178377","140136","","",""
"","","","1044","177326","139671"
"1002","178370","140235","","",""
"","","","1045","177342","139671"
"1003","178358","140290","","",""
"","","","1046","177383","139668"
"1004","178334","140364","","",""
"","","","1047","177451","139662"
"1005","178303","140358","","",""
"","","","1048","177492","139650"
"1006","178272","140296","","",""
"","","","1049","177536","139644"
"1007","178241","140235","","",""
"","","","1050","177586","139659"
"1008","178223","140173","","",""
"","","","1051","177631","139691"
"1009","178210","140142","","",""
"","","","1052","177687","139736"
"1010","178174","140118","","",""
"","","","1053","177707","139768"
"1011","178069","140136","","",""
"","","","1054","177719","139824"
"1012","178020","140136","","",""
"","","","1055","177722","139859"
"1013","178014","140087","","",""
"","","","1056","177704","139906"
"1014","178044","140013","","",""
"","","","1057","177687","139951"
"1015","178087","140001","","",""
"","","","1058","177645","140015"
"1016","178143","139847","","",""
"","","","1059","177619","140098"
"1017","178167","139730","","",""
"","","","1060","177607","140145"
"1018","178161","139675","","",""
"","","","1061","177584","140215"
"1019","178118","139638","","",""
"","","","1062","177545","140283"
"1020","178044","139675","","",""
"","","","1063","177478","140301"
"1021","177989","139718","","",""
"","","","1064","177413","140257"
"1022","177884","139718","","",""
"","","","1065","177372","140198"
"1023","177835","139662","","",""
"","","","1066","177330","140154"
"1024","177792","139601","","",""
"","","","1067","177295","140124"
"1025","177804","139521","","",""
"","","","1068","177263","140095"
"1026","177798","139465","","",""
"","","","1069","177248","140074"
"1027","177730","139465","","",""
"","","","1070","177227","140054"
"1028","177681","139490","","",""
"","","","1071","177186","140045"
"1029","177607","139539","","",""
"","","","1072","177164","140041"
"1030","177564","139595","","",""
"","","","1073","177179","140064"
"1031","177472","139533","","",""
"","","","1074","177150","140093"
"1032","177435","139496","","",""
"","","","1075","177102","140091"
"1033","177324","139496","","",""
"","","","1076","177044","140044"
"1034","177244","139478","","",""
"","","","1077","176976","140028"
"1035","177195","139478","","",""
"","","","1078","176918","140015"
"1036","177115","139496","","",""
