"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"","","","1658","163400","138502"
"1615","162706","138663","","",""
"","","","1659","163401","138506"
"1616","162725","138631","","",""
"","","","1660","163420","138527"
"1617","162727","138598","","",""
"","","","1661","163438","138509"
"1618","162737","138568","","",""
"","","","1662","163436","138481"
"1619","162734","138533","","",""
"","","","1663","163447","138461"
"1620","162733","138501","","",""
"","","","1664","163465","138441"
"1621","162720","138478","","",""
"","","","1665","163489","138413"
"1622","162715","138432","","",""
"","","","1666","163499","138365"
"1623","162725","138383","","",""
"","","","1667","163503","138317"
"1624","162730","138341","","",""
"1625","162770","138325","1668","163495","138282"
"1626","162803","138313","","",""
"","","","1669","163472","138257"
"1627","162796","138271","","",""
"","","","1670","163463","138222"
"1628","162836","138286","","",""
"","","","1671","163484","138225"
"1629","162848","138276","","",""
"","","","1672","163518","138219"
"1630","162869","138264","","",""
"","","","1673","163522","138258"
"1631","162898","138253","","",""
"","","","1674","163554","138271"
"1632","162920","138260","","",""
"","","","1675","163583","138272"
"1633","162916","138291","","",""
"","","","1676","163616","138272"
"1634","162939","138306","","",""
"","","","1677","163668","138274"
"1635","162970","138313","","",""
"","","","1678","163708","138283"
"1636","163004","138327","","",""
"","","","1679","163709","138312"
"1637","163035","138322","","",""
"","","","1680","163734","138309"
"1638","163060","138341","","",""
"","","","1681","163766","138292"
"1639","163057","138399","","",""
"","","","1682","163797","138282"
"1640","163047","138444","","",""
"","","","1683","163820","138263"
"1641","163069","138463","","",""
"","","","1684","163843","138236"
"1642","163081","138470","","",""
"","","","1685","163862","138229"
"1643","163102","138476","","",""
"","","","1686","163890","138233"
"1644","163117","138454","","",""
"","","","1687","163906","138245"
"1645","163151","138447","","",""
"","","","1688","163918","138256"
"1646","163172","138448","","",""
"","","","1689","163903","138214"
"1647","163188","138457","","",""
"","","","1690","163885","138187"
"1648","163214","138444","","",""
"","","","1691","163885","138155"
"1649","163236","138450","","",""
"","","","1692","163840","138144"
"1650","163265","138452","","",""
"","","","1693","163822","138133"
"1651","163302","138457","","",""
"","","","1694","163820","138148"
"1652","163320","138473","","",""
"","","","1695","163796","138161"
"1653","163342","138476","","",""
"","","","1696","163792","138136"
"1654","163361","138474","","",""
"","","","1697","163803","138120"
"1655","163361","138470","","",""
"","","","1698","163799","138114"
"1656","163381","138470","","",""
"","","","1699","163783","138110"
"1657","163391","138495","1700","163800","138089"
