"","Coordinates","East","North","","Coordinates","East","North"
"","Number","Coordinates","Coordinates","","Number","Coordinates","Coordinates"
"1","","149205","149070","34","","149790","148912"
"2","","149216","149254","35","","149766","148868"
"3","","149285","149228","36","","149701","148848"
"4","","149357","149220","37","","149720","148796"
"5","","149452","149220","38","","149756","148728"
"6","","149576","149247","39","","149811","148638"
"7","","149605","149225","40","","149844","148610"
"8","","149684","149225","41","","149892","148523"
"9","","149729","149226","42","","149939","148486"
"10","","149732","149180","43","","149983","148445"
"11","","149650","149185","44","","149970","148412"
"12","","149622","149193","45","","150000","148370"
"13","","149614","149167","46","","149969","148333"
"14","","149635","149143","47","","149969","148276"
"","","","","48","","149965","148240"
"15","","149608","149127","","","",""
"","","","","49","","149893","148301"
"16","","149609","149065","","","",""
"","","","","50","","149855","148297"
"17","","149570","149046","","","",""
"","","","","51","","149807","148322"
"18","","149582","148999","","","",""
"","","","","52","","149770","148323"
"19","","149607","148962","","","",""
"","","","","53","","149737","148278"
"20","","149670","148991","","","",""
"","","","","54","","149770","148240"
"21","","149714","149040","","","",""
"","","","","55","","149724","148219"
"22","","149709","149083","","","",""
"","","","","56","","149749","148151"
"23","","149678","149117","","","",""
"","","","","57","","149704","148138"
"24","","149706","149141","","","",""
"","","","","58","","149699","148065"
"25","","149759","149150","","","",""
"","","","","59","","149753","148048"
"26","","149811","149156","","","",""
"","","","","60","","149807","148060"
"27","","149853","149148","","","",""
"","","","","61","","149818","148040"
"28","","149879","149117","","","",""
"","","","","62","","149736","148004"
"29","","149876","149068","","","",""
"","","","","63","","149688","147987"
"30","","149922","149031","","","",""
"","","","","64","","149581","147937"
"31","","149914","148985","","","",""
"","","","","65","","149548","147848"
"32","","149860","148958","","","",""
"33","","149803","148958","66","","149547","147790"
