"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"14410","147247","137371","14452","146468","137776"
"14411","147222","137409","14453","146444","137808"
"14412","147201","137439","14454","146441","137851"
"14413","147181","137464","14455","146418","137885"
"14414","147165","137500","14456","146408","137861"
"14415","147135","137519","14457","146388","137849"
"14416","147085","137526","14458","146372","137859"
"14417","147073","137513","14459","146359","137879"
"14418","147054","137501","14460","146354","137900"
"14419","147057","137529","14461","146371","137922"
"14420","147065","137554","14462","146380","137928"
"14421","147071","137573","14463","146397","137941"
"14422","147068","137603","14464","146381","137952"
"14423","147043","137603","14465","146370","137974"
"14424","147028","137610","14466","146362","137987"
"14425","147007","137623","14467","146320","137970"
"14426","146991","137644","14468","146302","137957"
"14427","146969","137660","14469","146256","137994"
"14428","146935","137674","14470","146237","137980"
"14429","146915","137693","14471","146203","137982"
"14430","146896","137697","14472","146183","138018"
"14431","146876","137695","14473","146201","138049"
"14432","146850","137682","14474","146223","138063"
"14433","146845","137670","14475","146235","138059"
"14434","146851","137633","14476","146256","138050"
"14435","146848","137622","14477","146268","138075"
"14436","146820","137626","14478","146269","138099"
"14437","146801","137622","14479","146269","138121"
"14438","146785","137646","14480","146241","138105"
"14439","146710","137634","14481","146229","138118"
"14440","146700","137628","14482","146223","138145"
"14441","146684","137622","14483","146221","138157"
"14442","146669","137623","14484","146215","138168"
"14443","146632","137649","14485","146201","138177"
"14444","146651","137654","14486","146197","138163"
"14445","146633","137682","14487","146174","138163"
"14446","146621","137697","14488","146151","138156"
"14447","146588","137699","14489","146142","138132"
"14448","146552","137684","14490","146122","138141"
"14449","146546","137698","14491","146102","138149"
"14450","146541","137737","14492","146099","138181"
"14451","146508","137759","14493","146128","138181"
