"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"8581","163662","130420","8624","164869","129617"
"8582","163681","130413","8625","164899","129606"
"8583","163773","130416","8626","164915","129652"
"8584","163792","130416","8627","164942","129654"
"8585","163815","130416","8628","164977","129644"
"8586","163815","130414","8629","164994","129681"
"8587","163831","130410","8630","165033","129724"
"8588","163851","130409","8631","165055","129739"
"8589","163875","130411","8632","165132","129717"
"8590","163886","130403","8633","165122","129811"
"8591","163923","130398","8634","165098","129893"
"8592","163948","130383","8635","165127","129957"
"8593","163985","130398","8636","165222","130074"
"8594","164015","130400","8637","165353","130067"
"8595","164045","130374","8638","165302","129981"
"8596","164067","130340","8639","165239","129905"
"8597","164163","130356","8640","165252","129825"
"8598","164235","130346","8641","165271","129750"
"8599","164256","130294","8642","165245","129669"
"8600","164283","130263","8643","165245","129669"
"8601","164272","130213","8644","165268","129645"
"8602","164305","130171","8645","165256","129592"
"8603","164328","130142","8646","165258","129571"
"8604","164364","130062","8647","165258","129530"
"8605","164386","130031","8648","165266","129508"
"8606","164413","129984","8649","165336","129531"
"8607","164466","129954","8650","165447","129514"
"8608","164456","129862","8651","165428","129379"
"8609","164535","129867","8652","165486","129293"
"8610","164623","129950","8653","165553","129235"
"8611","164744","130084","8654","165679","129235"
"8612","164796","130143","8655","165776","129254"
"8613","164848","130127","8656","165872","129302"
"8614","164859","130010","8657","165911","129379"
"8615","164769","129840","8658","165969","129399"
"8616","164724","129788","8659","166075","129399"
"8617","164776","129734","8660","166172","129341"
"8618","164802","129763","8661","166239","129312"
"8619","164830","129746","8662","166316","129312"
"8620","164854","129744","8663","166394","129351"
"8621","164861","129704","8664","166461","129418"
"8622","164857","129659","8665","166539","129360"
"8623","164848","129624","8666","166674","129360"
