"","Coordinates","East","North","","Coordinates","East","North"
"","Number","Coordinates","Coordinates","","Number","Coordinates","Coordinates"
"669","","154860","139494","712","","156368","137598"
"670","","154881","139481","","","",""
"","","","","713","","156464","137475"
"671","","154902","139476","","","",""
"","","","","714","","156502","137437"
"672","","154911","139463","","","",""
"","","","","715","","156507","137402"
"673","","154940","139440","","","",""
"","","","","716","","156478","137387"
"674","","154955","139412","","","",""
"","","","","717","","156280","137093"
"675","","155004","139376","","","",""
"","","","","718","","156482","136661"
"676","","155032","139350","","","",""
"","","","","719","","156540","136550"
"677","","155051","139312","","","",""
"","","","","720","","156563","136518"
"678","","155071","139289","","","",""
"","","","","721","","156583","136503"
"679","","155100","139243","","","",""
"","","","","722","","156609","136478"
"680","","155111","139210","","","",""
"","","","","723","","156618","136464"
"681","","155150","139178","","","",""
"","","","","724","","156642","136440"
"682","","155181","139148","","","",""
"","","","","725","","156657","136404"
"683","","155218","139143","","","",""
"","","","","726","","156686","136357"
"684","","155230","139130","","","",""
"","","","","727","","156705","136336"
"685","","155238","139114","","","",""
"","","","","728","","156739","136310"
"686","","155270","139088","","","",""
"","","","","729","","156769","136276"
"687","","155319","139027","","","",""
"","","","","730","","156772","136251"
"688","","155174","138952","","","",""
"","","","","731","","156825","136192"
"689","","155398","138923","","","",""
"","","","","732","","156848","136186"
"690","","155426","138902","","","",""
"","","","","733","","156912","136122"
"691","","155432","138883","","","",""
"","","","","734","","156921","136102"
"692","","155455","138863","","","",""
"","","","","735","","157041","135971"
"693","","155506","138781","","","",""
"","","","","736","","157066","135939"
"694","","155553","138729","","","",""
"","","","","737","","157105","135897"
"695","","155601","138688","","","",""
"","","","","738","","157131","135858"
"696","","155619","138655","","","",""
"","","","","739","","157177","135818"
"697","","155669","138614","","","",""
"","","","","740","","157306","135663"
"698","","155714","138588","","","",""
"","","","","741","","157411","135692"
"699","","155764","138464","","","",""
"","","","","742","","157557","135548"
"700","","155800","138339","743","","157655","135447"
"701","","155811","138285","744","","157704","135414"
"702","","155872","138100","745","","157760","135388"
"703","","155899","138044","746","","157809","135330"
"704","","156070","137938","747","","157856","135261"
"705","","156095","137942","748","","157905","135218"
"","","","","749","","157992","135202"
"706","","156221","137844","","","",""
"707","","156236","137825","750","","158072","135158"
"708","","156218","137735","751","","158104","135130"
"709","","156252","137701","752","","158153","135079"
"710","","156289","137687","753","","158184","135038"
"711","","156347","137627","754","","158277","134956"
