"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"10462","163376","127114","10504","163425","127531"
"10463","163383","127128","10505","163401","127543"
"10464","163402","127122","10506","163413","127557"
"10465","163418","127125","10507","163415","127558"
"10466","163443","127120","10508","163426","127571"
"10467","163466","127119","10509","163450","127565"
"10468","163470","127136","10510","163461","127563"
"10469","163468","127157","10511","163474","127559"
"10470","163451","127171","10512","163497","127574"
"10471","163426","127174","10513","163526","127581"
"10472","163411","127172","10514","163534","127595"
"10473","163416","127185","10515","163537","127601"
"10474","163429","127193","10516","163541","127610"
"10475","163436","127217","10517","163546","127620"
"10476","163454","127224","10518","163542","127629"
"10477","163481","127213","10519","163529","127632"
"10478","163500","127199","10520","163525","127623"
"10479","163510","127248","10521","163517","127610"
"10480","163529","127259","10522","163496","127620"
"10481","163546","127263","10523","163480","127647"
"10482","163563","127281","10524","163472","127664"
"10483","163580","127296","10525","163461","127683"
"10484","163602","127303","10526","163443","127686"
"10485","163621","127324","10527","163433","127692"
"10486","163620","127341","10528","163440","127710"
"10487","163601","127351","10529","163448","127707"
"10488","163591","127369","10530","163462","127698"
"10489","163605","127384","10531","163480","127708"
"10490","163597","127397","10532","163491","127720"
"10491","163593","127409","10533","163492","127742"
"10492","163586","127422","10534","163481","127766"
"10493","163570","127432","10535","163484","127794"
"10494","163550","127440","10536","163488","127816"
"10495","163526","127451","10537","163474","127817"
"10496","163503","127457","10538","163454","127827"
"10497","163498","127470","10539","163463","127850"
"10498","163489","127487","10540","163449","127862"
"10499","163459","127486","10541","163430","127876"
"10500","163433","127483","10542","163416","127864"
"10501","163414","127481","10543","163399","127850"
"10502","163407","127507","10544","163407","127872"
"10503","163427","127519","10545","163411","127885"
