"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"2303","164470","135464","2346","165061","135391"
"2304","164493","135450","2347","165064","135381"
"2305","164526","135439","2348","165075","135366"
"2306","164548","135433","2349","165078","135339"
"2307","164577","135430","2350","165072","135325"
"2308","164601","135416","2351","165071","135283"
"2309","164621","135412","2352","165088","135277"
"2310","164636","135394","2353","165133","135244"
"2311","164626","135382","2354","165152","135258"
"2312","164635","135351","2355","165181","135272"
"2313","164655","135333","2356","165228","135242"
"2314","164669","135327","2357","165241","135228"
"2315","164670","135310","2358","165250","135221"
"2316","164688","135303","2359","165257","135220"
"2317","164712","135321","2360","165271","135223"
"2318","164735","135279","2361","165285","135220"
"2319","164693","135263","2362","165283","135217"
"2320","164711","135220","2363","165280","135208"
"2321","164738","135225","","",""
"","","","2364","165279","135151"
"2322","164773","135229","","",""
"","","","2365","165309","135168"
"2323","164805","135199","2366","165321","135155"
"2324","164846","135199","2367","165348","135143"
"2325","164865","135172","2368","165370","135139"
"2326","164842","135137","2369","165389","135128"
"2327","164909","135161","2370","165408","135124"
"2328","164919","135191","2371","165428","135122"
"2329","164934","135199","2372","165448","135120"
"2330","164964","135213","2373","165465","135108"
"2331","164979","135228","","",""
"","","","2374","165492","135101"
"2332","165003","135231","","",""
"","","","2375","165510","135088"
"2333","165038","135316","2376","165526","135076"
"2334","165027","135500","2377","165536","135069"
"2335","165052","135664","2378","165561","135050"
"2336","165072","135646","2379","165570","135019"
"2337","165074","135595","2380","165569","135009"
"2338","165063","135573","2381","165589","134982"
"2339","165071","135563","","",""
"","","","2382","165605","134990"
"2340","165070","135546","","",""
"","","","2383","165636","134990"
"2341","165075","135500","","",""
"","","","2384","165655","135002"
"2342","165072","135488","","",""
"","","","2385","165663","134993"
"2343","165075","135453","2386","165672","134983"
"2344","165068","135412","2387","165681","134978"
"2345","165064","135398","2388","165683","134968"
