"","Coordinates","East","North","","Coordinates","East","North"
"","Number","Coordinates","Coordinates","","Number","Coordinates","Coordinates"
"","","","","113","","164211","146478"
"71","","162706","147306","","","",""
"","","","","114","","164261","146467"
"72","","162772","147310","","","",""
"","","","","115","","164281","146412"
"73","","162826","147248","","","",""
"","","","","116","","164319","146412"
"74","","162822","147182","","","",""
"","","","","117","","164342","146455"
"75","","162834","147136","","","",""
"","","","","118","","164354","146482"
"76","","162865","147136","","","",""
"","","","","119","","164354","146540"
"77","","162927","147136","","","",""
"","","","","120","","164339","146575"
"78","","162969","147140","","","",""
"","","","","121","","164346","146614"
"79","","163031","147128","","","",""
"","","","","122","","164389","146629"
"80","","163062","147113","","","",""
"","","","","123","","164443","146641"
"81","","163074","147074","","","",""
"","","","","124","","164520","146641"
"82","","163081","147035","","","",""
"","","","","125","","164590","146652"
"83","","163074","147004","","","",""
"","","","","126","","164656","146651"
"84","","163039","146977","","","",""
"","","","","127","","164682","146687"
"85","","163031","146946","","","",""
"","","","","128","","164671","146713"
"86","","163070","146931","","","",""
"","","","","129","","164653","146746"
"87","","163105","146931","","","",""
"","","","","130","","164682","146753"
"88","","163120","146904","","","",""
"","","","","131","","164704","146775"
"89","","163124","146877","","","",""
"","","","","132","","164733","146779"
"90","","163155","146846","","","",""
"","","","","133","","164781","146760"
"91","","163197","146857","","","",""
"","","","","134","","164840","146724"
"92","","163244","146892","","","",""
"","","","","135","","164898","146698"
"93","","163263","146923","","","",""
"","","","","136","","164957","146683"
"94","","163294","146946","","","",""
"","","","","137","","165056","146669"
"95","","163341","146919","","","",""
"","","","","138","","165162","146676"
"96","","163368","146919","","","",""
"","","","","139","","165166","146713"
"97","","163414","146919","","","",""
"","","","","140","","165202","146735"
"98","","163464","146884","","","",""
"","","","","141","","165239","146760"
"99","","163507","146865","","","",""
"","","","","142","","165283","146768"
"100","","163534","146853","","","",""
"","","","","143","","165367","146764"
"101","","163588","146819","","","",""
"","","","","144","","165397","146709"
"102","","163646","146811","","","",""
"","","","","145","","165426","146676"
"103","","163716","146768","","","",""
"","","","","146","","165477","146702"
"104","","163716","146695","","","",""
"","","","","147","","165525","146702"
"105","","163724","146633","","","",""
"","","","","148","","165587","146735"
"106","","163778","146587","","","",""
"","","","","149","","165646","146727"
"107","","163871","146544","","","",""
"","","","","150","","165686","146683"
"108","","163944","146509","","","",""
"","","","","151","","165683","146661"
"109","","163983","146544","","","",""
"","","","","152","","165631","146658"
"110","","164052","146482","","","",""
"","","","","153","","165606","146658"
"111","","164122","146490","","","",""
"","","","","154","","165573","146658"
"112","","164176","146517","","","",""
