"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"11806","159637","132069","11848","159564","131867"
"11807","159657","132079","11849","159555","131854"
"11808","159689","132066","11850","159544","131841"
"11809","159709","132050","11851","159558","131830"
"11810","159731","132040","11852","159577","131821"
"11811","159736","132020","11853","159585","131835"
"11812","159727","131999","11854","159600","131809"
"11813","159742","131976","11855","159584","131792"
"11814","159762","131958","11856","159574","131777"
"11815","159747","131931","11857","159564","131755"
"11816","159733","131903","11858","159557","131740"
"11817","159729","131907","11859","159574","131721"
"11818","159714","131895","11860","159598","131708"
"11819","159697","131884","11861","159622","131707"
"11820","159684","131879","11862","159641","131709"
"11821","159697","131858","11863","159665","131718"
"11822","159705","131848","11864","159679","131727"
"11823","159670","131849","11865","159699","131738"
"11824","159662","131834","11866","159718","131734"
"11825","159682","131820","11867","159745","131726"
"11826","159697","131811","11868","159767","131721"
"11827","159721","131801","11869","159772","131717"
"11828","159694","131785","11870","159792","131715"
"11829","159674","131771","11871","159807","131708"
"11830","159659","131793","11872","159834","131692"
"11831","159638","131813","11873","159858","131686"
"11832","159626","131835","11874","159854","131671"
"11833","159633","131848","11875","159874","131667"
"11834","159643","131866","11876","159879","131686"
"11835","159644","131878","11877","159871","131701"
"11836","159640","131897","11878","159887","131717"
"11837","159625","131898","11879","159911","131715"
"11838","159619","131922","11880","159930","131716"
"11839","159618","131937","11881","159953","131713"
"11840","159600","131952","11882","159966","131734"
"11841","159585","131966","11883","159977","131721"
"11842","159571","131944","11884","159992","131707"
"11843","159591","131934","11885","160006","131693"
"11844","159574","131914","11886","160031","131678"
"11845","159560","131922","11887","160053","131675"
"11846","159551","131908","11888","160072","131657"
"11847","159572","131894","11889","160089","131646"
