"","Coordinates","East","North","","Coordinates","East","North"
"","Number","Coordinates","Coordinates","","Number","Coordinates","Coordinates"
"325","","158378","139593","368","","156619","141089"
"326","","158584","139527","","","",""
"","","","","369","","156548","141154"
"327","","158610","139349","","","",""
"","","","","370","","156510","141188"
"328","","158677","139245","371","","156460","141209"
"329","","158382","139204","","","",""
"","","","","372","","156451","141155"
"330","","157894","139467","","","",""
"","","","","373","","156438","141107"
"331","","157421","139753","","","",""
"","","","","374","","156413","141092"
"332","","157458","139858","","","",""
"","","","","375","","156381","141070"
"333","","157521","139856","","","",""
"","","","","376","","156334","141059"
"334","","157563","139817","","","",""
"","","","","377","","156308","141073"
"335","","157583","139810","","","",""
"","","","","378","","156286","141098"
"336","","157605","139901","","","",""
"","","","","379","","156282","141124"
"337","","157585","139951","","","",""
"","","","","380","","156250","141151"
"338","","157581","139984","","","",""
"","","","","381","","156216","141170"
"339","","157604","140033","","","",""
"","","","","382","","156211","141222"
"340","","157588","140081","","","",""
"","","","","383","","156184","141257"
"341","","157556","140100","","","",""
"","","","","384","","156185","141283"
"342","","157529","140126","","","",""
"","","","","385","","156169","141322"
"343","","157548","140154","","","",""
"","","","","386","","156145","141351"
"344","","157555","140163","","","",""
"","","","","387","","156119","141338"
"345","","157560","140192","","","",""
"","","","","388","","156084","141359"
"346","","157551","140224","","","",""
"","","","","389","","156088","141389"
"347","","157502","140301","","","",""
"","","","","390","","156102","141395"
"348","","157477","140298","","","",""
"","","","","391","","156121","141433"
"349","","157469","140297","","","",""
"","","","","392","","156137","141463"
"350","","157459","140280","","","",""
"","","","","393","","156189","141477"
"351","","157434","140264","","","",""
"","","","","394","","156245","141491"
"352","","157425","140238","","","",""
"","","","","395","","156258","141509"
"353","","157404","140231","","","",""
"","","","","396","","156244","141530"
"354","","157393","140239","","","",""
"","","","","397","","156207","141566"
"355","","157367","140217","","","",""
"","","","","398","","156189","141592"
"356","","157334","140169","","","",""
"","","","","399","","156216","141623"
"357","","157275","140250","","","",""
"","","","","400","","156197","141665"
"358","","157184","140375","","","",""
"","","","","401","","156162","141712"
"359","","157126","140455","","","",""
"","","","","402","","156113","141762"
"360","","157079","140520","","","",""
"","","","","403","","156089","141750"
"361","","157037","140614","","","",""
"","","","","404","","156081","141700"
"362","","156928","140761","","","",""
"","","","","405","","156062","141685"
"363","","156809","140919","","","",""
"","","","","406","","156007","141656"
"364","","156750","140997","","","",""
"","","","","407","","155968","141670"
"365","","156704","141013","","","",""
"","","","","408","","155918","141704"
"366","","156665","141054","","","",""
"","","","","409","","155898","141717"
"367","","156665","141079","410","","155879","141734"
