"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"","","","1541","160831","147006"
"1499","162543","145885","","",""
"","","","1542","160822","147041"
"1500","162517","145877","","",""
"","","","1543","160820","147099"
"1501","162503","145866","","",""
"","","","1544","160818","147151"
"1502","162468","145868","","",""
"","","","1545","160798","147177"
"1503","162454","145862","","",""
"","","","1546","160762","147202"
"1504","162428","145853","","",""
"","","","1547","160723","147206"
"1505","162401","145862","","",""
"","","","1548","160691","147213"
"1506","162376","145888","","",""
"","","","1549","160678","147248"
"1507","162349","145897","","",""
"","","","1550","160671","147279"
"1508","162322","145900","","",""
"","","","1551","160669","147328"
"1509","162274","145902","","",""
"","","","1552","160676","147353"
"1510","162244","145911","","",""
"","","","1553","160709","147379"
"1511","162214","145952","","",""
"","","","1554","160754","147386"
"1512","162187","145993","","",""
"","","","1555","160816","147384"
"1513","162158","146009","","",""
"","","","1556","160874","147379"
"1514","162142","146034","","",""
"","","","1557","160934","147360"
"1515","162129","146055","","",""
"","","","1558","160952","147360"
"1516","162093","146081","","",""
"","","","1559","160978","147373"
"1517","162013","146118","","",""
"","","","1560","161003","147397"
"1518","161939","146130","","",""
"","","","1561","161027","147419"
"1519","161847","146161","","",""
"","","","1562","161052","147439"
"1520","161761","146210","","",""
"","","","1563","161094","147459"
"1521","161706","146278","","",""
"","","","1564","161121","147477"
"1522","161650","146346","","",""
"","","","1565","161143","147491"
"1523","161570","146438","","",""
"","","","1566","161158","147513"
"1524","161546","146456","","",""
"","","","1567","161200","147513"
"1525","161546","146506","","",""
"","","","1568","161238","147513"
"1526","161472","146549","","",""
"","","","1569","161263","147495"
"1527","161386","146653","","",""
"","","","1570","161289","147475"
"1528","161318","146746","","",""
"","","","1571","161316","147461"
"1529","161256","146813","","",""
"","","","1572","161337","147461"
"1530","161182","146832","","",""
"","","","1573","161337","147488"
"1531","161121","146912","","",""
"","","","1574","161333","147546"
"1532","161084","146955","","",""
"","","","1575","161360","147565"
"1533","161053","146992","","",""
"","","","1576","161395","147569"
"1534","161027","147004","","",""
"","","","1577","161399","147600"
"1535","161022","147004","","",""
"","","","1578","161391","147631"
"1536","160982","147002","","",""
"","","","1579","161391","147650"
"1537","160963","146993","","",""
"","","","1580","161414","147654"
"1538","160920","146982","","",""
"","","","1581","161449","147654"
"1539","160885","146990","","",""
"","","","1582","161461","147631"
"1540","160867","147001","","",""
