"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"1701","163828","138072","1744","163967","137567"
"","","","1745","163977","137554"
"1702","163858","138056","","",""
"","","","1746","163995","137538"
"1703","163870","138047","","",""
"","","","1747","164011","137562"
"1704","163891","138038","","",""
"","","","1748","164025","137584"
"1705","163905","138028","","",""
"","","","1749","164038","137592"
"1706","163930","138032","","",""
"","","","1750","164067","137591"
"1707","163935","138045","","",""
"","","","1751","164077","137576"
"1708","163941","138062","","",""
"","","","1752","164064","137561"
"1709","163960","138034","","",""
"","","","1753","164067","137539"
"1710","163980","138021","","",""
"","","","1754","164095","137554"
"1711","163997","138016","","",""
"","","","1755","164125","137561"
"1712","164011","138006","","",""
"","","","1756","164113","137545"
"1713","164017","137986","","",""
"","","","1757","164134","137523"
"1714","164003","137973","","",""
"","","","1758","164121","137497"
"1715","163970","137938","","",""
"1716","163955","137936","1759","164139","137485"
"1717","163934","137921","1760","164156","137498"
"","","","1761","164176","137500"
"1718","163924","137897","","",""
"1719","163910","137869","1762","164204","137504"
"1720","163960","137845","1763","164225","137512"
"1721","163907","137810","1764","164234","137505"
"1722","163899","137786","1765","164241","137492"
"1723","163877","137762","1766","164229","137480"
"1724","163884","137752","1767","164206","137480"
"1725","163894","137756","1768","164225","137458"
"1726","163913","137755","1769","164241","137444"
"1727","163942","137740","1770","164249","137431"
"1728","163964","137719","1771","164268","137451"
"1729","163982","137700","1772","164279","137465"
"","","","1773","164258","137469"
"1730","164011","137689","","",""
"1731","164033","137668","1774","164256","137491"
"1732","164046","137641","1775","164259","137501"
"1733","164022","137641","1776","164274","137491"
"1734","164006","137636","1777","164294","137483"
"1735","163988","137655","1778","164311","137481"
"","","","1779","164323","137480"
"1736","163966","137658","","",""
"","","","1780","164335","137484"
"1737","163934","137664","","",""
"","","","1781","164329","137467"
"1738","163908","137649","","",""
"","","","1782","164318","137456"
"1739","163896","137612","","",""
"","","","1783","164305","137447"
"1740","163876","137605","","",""
"","","","1784","164296","137430"
"1741","163892","137596","","",""
"1742","163922","137599","1785","164318","137421"
"1743","163949","137581","1786","164327","137403"
