"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"","","","9054","167813","122804"
"9011","168740","123781","","",""
"","","","9055","167809","122803"
"9012","168781","123773","","",""
"","","","9056","167805","122802"
"9013","168802","123733","","",""
"","","","9057","167801","122801"
"9014","168838","123664","","",""
"","","","9058","167799","122800"
"9015","168846","123585","","",""
"","","","9059","167796","122797"
"9016","168817","123448","","",""
"","","","9060","167791","122793"
"9017","168783","123397","","",""
"","","","9061","167786","122788"
"9018","168759","123361","","",""
"","","","9062","167783","122785"
"9019","168573","123351","","",""
"","","","9063","167780","122785"
"9020","168577","123278","","",""
"","","","9064","167776","122784"
"9021","168633","123208","","",""
"","","","9065","167769","122782"
"9022","168719","123129","","",""
"","","","9066","167762","122778"
"9023","168441","123080","","",""
"","","","9067","167759","122775"
"9024","168253","123116","","",""
"","","","9068","167755","122773"
"9025","168181","123195","","",""
"","","","9069","167754","122772"
"9026","168152","123304","","",""
"","","","9070","167755","122769"
"9027","168036","123325","","",""
"","","","9071","167757","122763"
"9028","167928","123412","","",""
"","","","9072","167758","122759"
"9029","167842","123412","","",""
"","","","9073","167759","122756"
"9030","167806","123470","","",""
"","","","9074","167760","122752"
"9031","167719","123498","","",""
"","","","9075","167761","122749"
"9032","167546","123325","","",""
"","","","9076","167762","122743"
"9033","167553","123275","","",""
"","","","9077","167763","122741"
"9034","167589","123245","","",""
"","","","9078","167748","122724"
"9035","167626","123163","","",""
"","","","9079","167736","122712"
"9036","167685","123108","","",""
"","","","9080","167727","122698"
"9037","167713","123040","","",""
"","","","9081","167734","122693"
"9038","167786","123040","","",""
"","","","9082","167739","122690"
"9039","167831","122980","","",""
"","","","9083","167743","122687"
"9040","167827","122930","","",""
"","","","9084","167749","122677"
"9041","167836","122907","","",""
"","","","9085","167754","122671"
"9042","167872","122926","","",""
"","","","9086","167756","122672"
"9043","167923","122926","","",""
"","","","9087","167763","122677"
"9044","167904","122880","","",""
"","","","9088","167766","122679"
"9045","167889","122861","","",""
"","","","9089","167771","122683"
"9046","167872","122839","","",""
"","","","9090","167781","122700"
"9047","167869","122827","","",""
"","","","9091","167793","122699"
"9048","167857","122816","","",""
"","","","9092","167807","122707"
"9049","167830","122810","","",""
"","","","9093","167813","122711"
"9050","167824","122807","","",""
"","","","9094","167826","122721"
"9051","167821","122806","","",""
"","","","9095","167829","122723"
"9052","167819","122805","","",""
"","","","9096","167830","122724"
"9053","167816","122805","","",""
