"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"8409","165022","130511","8452","164145","130843"
"8410","164999","130500","8453","164109","130848"
"8411","164976","130490","8454","164092","130862"
"8412","164967","130511","8455","164097","130897"
"8413","164961","130499","8456","164117","130913"
"8414","164940","130522","8457","164127","130916"
"8415","164919","130532","8458","164108","130934"
"8416","164896","130537","8459","164067","130940"
"8417","164877","130540","8460","164044","130949"
"8418","164835","130552","8461","164024","130953"
"8419","164797","130574","8462","164024","130938"
"8420","164745","130587","8463","164011","130911"
"8421","164727","130600","8464","163996","130896"
"8422","164732","130639","8465","163971","130906"
"8423","164744","130652","8466","163971","130938"
"8424","164750","130666","8467","163980","130974"
"8425","164739","130684","8468","163974","131003"
"8426","164739","130696","8469","163998","131032"
"8427","164722","130681","8470","164031","131040"
"8428","164715","130674","8471","164050","131074"
"8429","164696","130681","8472","164064","131088"
"8430","164663","130693","8473","164068","131117"
"8431","164631","130695","8474","164054","131150"
"8432","164595","130707","8475","164067","131153"
"8433","164587","130736","8476","164098","131179"
"8434","164589","130754","8477","164081","131205"
"8435","164566","130779","8478","164060","131250"
"8436","164558","130795","8479","164008","131298"
"8437","164534","130781","8480","163981","131341"
"8438","164522","130762","8481","163918","131350"
"8439","164514","130741","8482","163860","131406"
"8440","164479","130761","8483","163841","131407"
"8441","164467","130785","8484","163831","131381"
"8442","164458","130815","8485","163813","131359"
"8443","164444","130808","8486","163856","131336"
"8444","164422","130805","8487","163885","131275"
"8445","164401","130810","8488","163911","131246"
"8446","164358","130811","8489","163964","131230"
"8447","164321","130807","8490","163989","131231"
"8448","164286","130811","8491","163992","131215"
"8449","164249","130814","8492","163973","131193"
"8450","164193","130817","8493","163974","131169"
"8451","164163","130811","8494","163966","131111"
