"","Coordinates","East","North","","Coordinates","East","North"
"","Number","Coordinates","Coordinates","","Number","Coordinates","Coordinates"
"","","","","953","","179263","140807"
"911","","178420","141404","","","",""
"","","","","954","","179220","140807"
"912","","178463","141435","","","",""
"","","","","955","","179158","140825"
"913","","178494","141490","","","",""
"","","","","956","","179103","140850"
"914","","178500","141570","","","",""
"","","","","957","","179066","140856"
"915","","178500","141662","","","",""
"","","","","958","","179047","140825"
"916","","178512","141730","","","",""
"","","","","959","","179078","140801"
"917","","178567","141712","","","",""
"","","","","960","","179097","140721"
"918","","178567","141644","","","",""
"","","","","961","","179091","140647"
"919","","178604","141638","","","",""
"","","","","962","","179201","140678"
"920","","178604","141564","","","",""
"","","","","963","","179257","140721"
"921","","178586","141453","","","",""
"","","","","964","","179355","140752"
"922","","178586","141379","","","",""
"","","","","965","","179447","140764"
"923","","178641","141330","","","",""
"","","","","966","","179515","140758"
"924","","178758","141330","","","",""
"","","","","967","","179515","140715"
"925","","178709","141459","","","",""
"","","","","968","","179374","140690"
"926","","178709","141515","","","",""
"","","","","969","","179324","140678"
"927","","178715","141570","","","",""
"","","","","970","","179318","140598"
"928","","178715","141656","","","",""
"","","","","971","","179312","140542"
"929","","178746","141706","","","",""
"","","","","972","","179189","140536"
"930","","178783","141687","","","",""
"","","","","973","","179127","140481"
"931","","178777","141626","","","",""
"","","","","974","","179078","140487"
"932","","178777","141527","","","",""
"","","","","975","","179078","140542"
"933","","178777","141441","","","",""
"","","","","976","","179060","140567"
"934","","178783","141373","","","",""
"","","","","977","","179017","140555"
"935","","178832","141367","","","",""
"","","","","978","","178955","140512"
"936","","178863","141398","","","",""
"","","","","979","","178998","140469"
"937","","178857","141466","","","",""
"","","","","980","","179019","140448"
"938","","178857","141552","","","",""
"","","","","981","","179029","140438"
"939","","178851","141650","","","",""
"","","","","982","","178949","140376"
"940","","178881","141650","","","",""
"","","","","983","","178881","140315"
"941","","178912","141552","","","",""
"","","","","984","","178814","140241"
"942","","178931","141490","","","",""
"","","","","985","","178690","140192"
"943","","178937","141459","","","",""
"","","","","986","","178598","140235"
"944","","178974","141386","","","",""
"","","","","987","","178530","140302"
"945","","178992","141318","","","",""
"","","","","988","","178512","140358"
"946","","179078","141226","","","",""
"","","","","989","","178444","140389"
"947","","179164","141182","","","",""
"","","","","990","","178426","140382"
"948","","179164","141182","","","",""
"","","","","991","","178395","140352"
"949","","179183","141090","","","",""
"","","","","992","","178414","140296"
"950","","179269","141041","","","",""
"","","","","993","","178475","140222"
"951","","179355","141016","","","",""
"","","","","994","","178500","140210"
"952","","179287","140936","","","",""
